jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,13/03/2021,11:00,ATLÉTICO SAN SEBASTIAN,UNIVERSIDAD DE BURGOS - TPF,1,5,,
Jornada 1,13/03/2021,17:00,MANUFACTURAS DEPORTIVAS,ETM TORRELAVEGA,2,4,,
Jornada 2,13/03/2021,18:30,ATLÉTICO SAN SEBASTIAN,SON CLADERA TTC,0,6,,
Jornada 3,14/03/2021,11:00,UNIVERSIDAD DE BURGOS - TPF,SON CLADERA TTC,3,3,,
Jornada 4,27/03/2021,11:00,ETM TORRELAVEGA,ATLÉTICO SAN SEBASTIAN,5,1,,
Jornada 4,27/03/2021,11:00,MANUFACTURAS DEPORTIVAS,SON CLADERA TTC,0,6,,
Jornada 5,27/03/2021,18:30,MANUFACTURAS DEPORTIVAS,UNIVERSIDAD DE BURGOS - TPF,0,6,,
Jornada 5,27/03/2021,18:30,ETM TORRELAVEGA,SON CLADERA TTC,3,3,,
Jornada 6,28/03/2021,11:00,ETM TORRELAVEGA,UNIVERSIDAD DE BURGOS - TPF,0,6,,
Jornada 6,28/03/2021,11:00,ATLÉTICO SAN SEBASTIAN,MANUFACTURAS DEPORTIVAS,5,1,,
Jornada 7,24/04/2021,11:00,ATLÉTICO SAN SEBASTIAN,ETM TORRELAVEGA,3,3,,
Jornada 7,25/04/2021,10:30,SON CLADERA TTC,UNIVERSIDAD DE BURGOS - TPF,5,1,,
Jornada 8,24/04/2021,18:30,MANUFACTURAS DEPORTIVAS,ATLÉTICO SAN SEBASTIAN,0,6,,
Jornada 9,25/04/2021,11:00,ETM TORRELAVEGA,MANUFACTURAS DEPORTIVAS,4,2,,
Jornada 10,08/05/2021,11:00,UNIVERSIDAD DE BURGOS - TPF,MANUFACTURAS DEPORTIVAS,2,4,,
Jornada 10,08/05/2021,11:00,SON CLADERA TTC,ETM TORRELAVEGA,6,0,,
Jornada 11,08/05/2021,18:30,UNIVERSIDAD DE BURGOS - TPF,ATLÉTICO SAN SEBASTIAN,6,0,,
Jornada 11,08/05/2021,18:30,SON CLADERA TTC,MANUFACTURAS DEPORTIVAS,6,0,,
Jornada 12,09/05/2021,11:00,UNIVERSIDAD DE BURGOS - TPF,ETM TORRELAVEGA,3,3,,
Jornada 12,09/05/2021,11:00,SON CLADERA TTC,ATLÉTICO SAN SEBASTIAN,6,0,,
