jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,06/03/2021,10:00,CAJA RURAL - GALAXIA PHONE,GURE TALDE,3,3,,
Jornada 1,06/03/2021,10:00,C.D. PISUERGA T.M./ DRAGO TT,CLUB TENIS DE MESA BASAURI,2,4,,
Jornada 2,06/03/2021,15:00,C.D. PISUERGA T.M./ DRAGO TT,GURE TALDE,2,4,,
Jornada 2,06/03/2021,15:00,VASA ARROYO-CDO,CLUB TENIS DE MESA BASAURI,1,5,,
Jornada 3,06/03/2021,18:30,VASA ARROYO-CDO,GURE TALDE,0,6,,
Jornada 3,06/03/2021,18:30,CAJA RURAL - GALAXIA PHONE,CLUB TENIS DE MESA BASAURI,5,1,,
Jornada 4,20/03/2021,10:00,VASA ARROYO-CDO,CAJA RURAL - GALAXIA PHONE,2,4,,
Jornada 4,20/03/2021,11:00,GURE TALDE,CLUB TENIS DE MESA BASAURI,4,2,,
Jornada 5,20/03/2021,15:00,CAJA RURAL - GALAXIA PHONE,C.D. PISUERGA T.M./ DRAGO TT,5,1,,
Jornada 6,20/03/2021,18:30,C.D. PISUERGA T.M./ DRAGO TT,VASA ARROYO-CDO,2,4,,
Jornada 7,10/04/2021,10:00,GURE TALDE,C.D. PISUERGA T.M./ DRAGO TT,4,2,,
Jornada 7,10/04/2021,10:00,CLUB TENIS DE MESA BASAURI,VASA ARROYO-CDO,3,3,,
Jornada 8,10/04/2021,15:00,GURE TALDE,VASA ARROYO-CDO,5,1,,
Jornada 8,10/04/2021,15:00,CLUB TENIS DE MESA BASAURI,CAJA RURAL - GALAXIA PHONE,2,4,,
Jornada 9,10/04/2021,18:30,GURE TALDE,CAJA RURAL - GALAXIA PHONE,1,5,,
Jornada 9,10/04/2021,18:30,CLUB TENIS DE MESA BASAURI,C.D. PISUERGA T.M./ DRAGO TT,3,3,,
Jornada 10,24/04/2021,17:30,CLUB TENIS DE MESA BASAURI,GURE TALDE,5,1,,
Jornada 10,01/05/2021,10:00,CAJA RURAL - GALAXIA PHONE,VASA ARROYO-CDO,4,2,,
Jornada 11,01/05/2021,15:00,VASA ARROYO-CDO,C.D. PISUERGA T.M./ DRAGO TT,3,3,,
Jornada 12,01/05/2021,18:30,C.D. PISUERGA T.M./ DRAGO TT,CAJA RURAL - GALAXIA PHONE,1,5,,
