jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,13/03/2021,11:00,COVICSA-CTT SANTA EULARIA,ALICANTE TM,4,2,,
Jornada 1,13/03/2021,11:00,DOC SERVICIOS HISPALIS,BALAGUER PIERA ECOCERAMICA,0,4,,
Jornada 2,13/03/2021,18:30,COVICSA-CTT SANTA EULARIA,BALAGUER PIERA ECOCERAMICA,3,3,,
Jornada 2,13/03/2021,18:30,DOC SERVICIOS HISPALIS,ALICANTE TM,0,4,,
Jornada 3,26/03/2021,17:00,UCAM CARTAGENA TM,VIDRIO SERVICE TM,4,1,,
Jornada 4,27/03/2021,11:00,COVICSA-CTT SANTA EULARIA,UCAM CARTAGENA TM,1,4,,
Jornada 4,27/03/2021,11:00,DOC SERVICIOS HISPALIS,VIDRIO SERVICE TM,0,4,,
Jornada 5,27/03/2021,18:30,COVICSA-CTT SANTA EULARIA,VIDRIO SERVICE TM,3,3,,
Jornada 5,27/03/2021,18:30,DOC SERVICIOS HISPALIS,UCAM CARTAGENA TM,0,4,,
Jornada 6,10/04/2021,16:00,ALICANTE TM,BALAGUER PIERA ECOCERAMICA,2,4,,
Jornada 7,30/04/2021,17:00,ALICANTE TM,VIDRIO SERVICE TM,0,4,,
Jornada 7,01/05/2021,11:00,BALAGUER PIERA ECOCERAMICA,UCAM CARTAGENA TM,0,4,,
Jornada 8,01/05/2021,18:30,BALAGUER PIERA ECOCERAMICA,VIDRIO SERVICE TM,1,4,,
Jornada 8,02/05/2021,11:00,ALICANTE TM,UCAM CARTAGENA TM,0,4,,
Jornada 9,25/04/2021,10:00,COVICSA-CTT SANTA EULARIA,DOC SERVICIOS HISPALIS,4,0,,
Jornada 10,15/05/2021,11:00,ALICANTE TM,COVICSA-CTT SANTA EULARIA,3,3,,
Jornada 10,15/05/2021,11:00,BALAGUER PIERA ECOCERAMICA,DOC SERVICIOS HISPALIS,4,0,,
Jornada 11,15/05/2021,18:30,BALAGUER PIERA ECOCERAMICA,COVICSA-CTT SANTA EULARIA,1,4,,
Jornada 11,15/05/2021,18:30,ALICANTE TM,DOC SERVICIOS HISPALIS,4,0,,
Jornada 12,21/05/2021,18:00,VIDRIO SERVICE TM,UCAM CARTAGENA TM,1,4,,
Jornada 13,22/05/2021,11:00,UCAM CARTAGENA TM,COVICSA-CTT SANTA EULARIA,4,1,,
Jornada 13,22/05/2021,11:00,VIDRIO SERVICE TM,DOC SERVICIOS HISPALIS,4,0,,
Jornada 14,22/05/2021,18:30,VIDRIO SERVICE TM,COVICSA-CTT SANTA EULARIA,3,3,,
Jornada 14,22/05/2021,18:30,UCAM CARTAGENA TM,DOC SERVICIOS HISPALIS,4,1,,
Jornada 15,22/05/2021,17:00,BALAGUER PIERA ECOCERAMICA,ALICANTE TM,1,4,,
Jornada 16,29/05/2021,11:00,UCAM CARTAGENA TM,ALICANTE TM,4,0,,
Jornada 16,29/05/2021,11:00,VIDRIO SERVICE TM,BALAGUER PIERA ECOCERAMICA,4,1,,
Jornada 17,29/05/2021,18:30,VIDRIO SERVICE TM,ALICANTE TM,3,3,,
Jornada 17,29/05/2021,18:30,UCAM CARTAGENA TM,BALAGUER PIERA ECOCERAMICA,4,2,,
Jornada 18,16/05/2021,10:00,DOC SERVICIOS HISPALIS,COVICSA-CTT SANTA EULARIA,0,4,,
