jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,06/03/2021,10:00,HELIOS ASESORIA SERINTE,LA ATALAYA GIJON TENIS DE MESA,3,3,,
Jornada 1,06/03/2021,10:00,CLUB DEL MAR,ETM TORRESPORT,2,4,,
Jornada 2,06/03/2021,15:00,CTM MILAGROSA,LA ATALAYA GIJON TENIS DE MESA,1,5,,
Jornada 2,06/03/2021,15:00,HELIOS ASESORIA SERINTE,ETM TORRESPORT,1,5,,
Jornada 3,06/03/2021,18:30,CLUB DEL MAR,LA ATALAYA GIJON TENIS DE MESA,2,4,,
Jornada 3,06/03/2021,18:30,CTM MILAGROSA,ETM TORRESPORT,0,6,,
Jornada 4,20/03/2021,10:00,CLUB DEL MAR,CTM MILAGROSA,6,0,,
Jornada 4,21/03/2021,10:30,LA ATALAYA GIJON TENIS DE MESA,ETM TORRESPORT,5,1,,
Jornada 5,20/03/2021,15:00,HELIOS ASESORIA SERINTE,CLUB DEL MAR,1,5,,
Jornada 6,20/03/2021,18:30,CTM MILAGROSA,HELIOS ASESORIA SERINTE,1,5,,
Jornada 7,10/04/2021,10:00,LA ATALAYA GIJON TENIS DE MESA,CTM MILAGROSA,6,0,,
Jornada 7,10/04/2021,10:00,ETM TORRESPORT,HELIOS ASESORIA SERINTE,4,2,,
Jornada 8,10/04/2021,15:00,LA ATALAYA GIJON TENIS DE MESA,HELIOS ASESORIA SERINTE,5,1,,
Jornada 8,10/04/2021,15:00,ETM TORRESPORT,CLUB DEL MAR,4,2,,
Jornada 9,10/04/2021,18:30,LA ATALAYA GIJON TENIS DE MESA,CLUB DEL MAR,2,4,,
Jornada 9,10/04/2021,18:30,ETM TORRESPORT,CTM MILAGROSA,5,1,,
Jornada 10,01/05/2021,10:00,CTM MILAGROSA,CLUB DEL MAR,2,4,,
Jornada 10,02/05/2021,10:30,ETM TORRESPORT,LA ATALAYA GIJON TENIS DE MESA,2,4,,
Jornada 11,01/05/2021,15:00,CLUB DEL MAR,HELIOS ASESORIA SERINTE,5,1,,
Jornada 12,01/05/2021,18:30,HELIOS ASESORIA SERINTE,CTM MILAGROSA,5,1,,
