jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,13/03/2021,11:00,QUADIS CENTRE NATACIO MATARO,CETT ESPARREGUERA,3,3,,
Jornada 1,13/03/2021,17:00,HORTITEC ALZIRA TT,PUBLIMAX CAI SANTIAGO T.M.,5,1,,
Jornada 2,13/03/2021,18:30,SOSMATIC BADALONA,QUADIS CENTRE NATACIO MATARO,2,4,,
Jornada 3,14/03/2021,11:00,CETT ESPARREGUERA,SOSMATIC BADALONA,4,2,,
Jornada 4,27/03/2021,11:00,SOSMATIC BADALONA,HORTITEC ALZIRA TT,0,6,,
Jornada 4,27/03/2021,11:00,QUADIS CENTRE NATACIO MATARO,PUBLIMAX CAI SANTIAGO T.M.,3,3,,
Jornada 5,27/03/2021,18:30,QUADIS CENTRE NATACIO MATARO,HORTITEC ALZIRA TT,1,5,,
Jornada 5,27/03/2021,18:30,CETT ESPARREGUERA,PUBLIMAX CAI SANTIAGO T.M.,2,4,,
Jornada 6,28/03/2021,11:00,CETT ESPARREGUERA,HORTITEC ALZIRA TT,2,4,,
Jornada 6,28/03/2021,11:00,SOSMATIC BADALONA,PUBLIMAX CAI SANTIAGO T.M.,3,3,,
Jornada 7,24/04/2021,11:00,CETT ESPARREGUERA,QUADIS CENTRE NATACIO MATARO,4,2,,
Jornada 7,24/04/2021,17:00,PUBLIMAX CAI SANTIAGO T.M.,HORTITEC ALZIRA TT,2,4,,
Jornada 8,24/04/2021,18:30,SOSMATIC BADALONA,CETT ESPARREGUERA,3,3,,
Jornada 8,25/04/2021,11:30,QUADIS CENTRE NATACIO MATARO,SOSMATIC BADALONA,6,0,,
Jornada 10,08/05/2021,11:00,HORTITEC ALZIRA TT,SOSMATIC BADALONA,6,0,,
Jornada 10,08/05/2021,11:00,PUBLIMAX CAI SANTIAGO T.M.,QUADIS CENTRE NATACIO MATARO,5,1,,
Jornada 11,08/05/2021,18:30,HORTITEC ALZIRA TT,CETT ESPARREGUERA,6,0,,
Jornada 11,08/05/2021,18:30,PUBLIMAX CAI SANTIAGO T.M.,SOSMATIC BADALONA,6,0,,
Jornada 12,09/05/2021,11:00,HORTITEC ALZIRA TT,QUADIS CENTRE NATACIO MATARO,5,1,,
Jornada 12,09/05/2021,11:00,PUBLIMAX CAI SANTIAGO T.M.,CETT ESPARREGUERA,5,1,,
