jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,06/03/2021,10:00,CLUB FIRGONG,C.D. TENIS DE MESA TEMEGUESTE,3,3,,
Jornada 1,06/03/2021,10:00,C.D. HIDRA LOS REALEJOS,CIRCULO DE AMISTAD-TENERIFE,0,6,,
Jornada 2,06/03/2021,15:00,CTM TABOR AÑAVINGO,C.D. TENIS DE MESA TEMEGUESTE,3,3,,
Jornada 2,06/03/2021,15:00,CLUB FIRGONG,CIRCULO DE AMISTAD-TENERIFE,1,5,,
Jornada 3,06/03/2021,18:30,C.D. HIDRA LOS REALEJOS,C.D. TENIS DE MESA TEMEGUESTE,4,2,,
Jornada 3,06/03/2021,18:30,CTM TABOR AÑAVINGO,CIRCULO DE AMISTAD-TENERIFE,0,6,,
Jornada 4,20/03/2021,10:00,CLUB FIRGONG,C.D. HIDRA LOS REALEJOS,3,3,,
Jornada 4,21/03/2021,11:00,C.D. TENIS DE MESA TEMEGUESTE,CIRCULO DE AMISTAD-TENERIFE,0,6,,
Jornada 5,20/03/2021,15:00,C.D. HIDRA LOS REALEJOS,CTM TABOR AÑAVINGO,2,4,,
Jornada 6,20/03/2021,18:30,CTM TABOR AÑAVINGO,CLUB FIRGONG,3,3,,
Jornada 7,10/04/2021,10:00,C.D. TENIS DE MESA TEMEGUESTE,CLUB FIRGONG,3,3,,
Jornada 7,10/04/2021,10:00,CIRCULO DE AMISTAD-TENERIFE,C.D. HIDRA LOS REALEJOS,6,0,,
Jornada 8,10/04/2021,15:00,C.D. TENIS DE MESA TEMEGUESTE,CTM TABOR AÑAVINGO,4,2,,
Jornada 8,10/04/2021,15:00,CIRCULO DE AMISTAD-TENERIFE,CLUB FIRGONG,6,0,,
Jornada 9,10/04/2021,18:30,C.D. TENIS DE MESA TEMEGUESTE,C.D. HIDRA LOS REALEJOS,3,3,,
Jornada 9,10/04/2021,18:30,CIRCULO DE AMISTAD-TENERIFE,CTM TABOR AÑAVINGO,6,0,,
Jornada 10,01/05/2021,10:00,C.D. HIDRA LOS REALEJOS,CLUB FIRGONG,2,4,,
Jornada 10,02/05/2021,11:00,CIRCULO DE AMISTAD-TENERIFE,C.D. TENIS DE MESA TEMEGUESTE,6,0,,
Jornada 11,01/05/2021,15:00,CTM TABOR AÑAVINGO,C.D. HIDRA LOS REALEJOS,4,2,,
Jornada 12,01/05/2021,18:30,CLUB FIRGONG,CTM TABOR AÑAVINGO,3,3,,
