jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,28/09/2024,16:30,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,AMIGOS TM LEBRIJA GUADALSEM,4,3,,
Jornada 1,28/09/2024,17:00,CTM ALCALA IMPORALIA,CLUB DEPORTIVO HUÉTOR VEGA TM,5,1,,
Jornada 1,28/09/2024,17:00,ATLEET-RAYBE TM TALAVERA,A.D. COLLADO MEDIANO,1,5,,
Jornada 1,28/09/2024,17:00,FRANCISCO R. POMARES S.L. ELCHE,CLUB CÍRCULO CULTURAL EL PALMAR,5,1,,
Jornada 1,29/09/2024,12:00,CD NERVION TENIS DE MESA CITY,CTM VEGAS DEL GENIL,2,4,,
Jornada 2,05/10/2024,10:30,ATLEET-RAYBE TM TALAVERA,CTM AYAMONTE,2,4,,
Jornada 2,05/10/2024,17:00,CLUB DEPORTIVO HUÉTOR VEGA TM,CD NERVION TENIS DE MESA CITY,5,1,,
Jornada 2,05/10/2024,17:00,A.D. COLLADO MEDIANO,CTM AYAMONTE,2,4,,
Jornada 2,05/10/2024,17:00,FRANCISCO R. POMARES S.L. ELCHE,CTM ALCALA IMPORALIA,6,0,,
Jornada 2,05/10/2024,18:00,CTM VEGAS DEL GENIL,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,4,2,,
Jornada 2,06/10/2024,10:30,CLUB CÍRCULO CULTURAL EL PALMAR,CTM ALCALA IMPORALIA,4,3,,
Jornada 2,06/10/2024,12:00,CLUB TENIS DE MESA COSLADA,CTM AYAMONTE,2,4,,
Jornada 3,12/10/2024,12:00,CTM ALCALA IMPORALIA,CTM VEGAS DEL GENIL,3,4,,
Jornada 3,12/10/2024,16:30,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,FRANCISCO R. POMARES S.L. ELCHE,1,5,,
Jornada 3,12/10/2024,17:00,A.D. COLLADO MEDIANO,CLUB TENIS DE MESA COSLADA,1,5,,
Jornada 3,12/10/2024,19:00,CD NERVION TENIS DE MESA CITY,ATLEET-RAYBE TM TALAVERA,5,1,,
Jornada 3,13/10/2024,11:00,AMIGOS TM LEBRIJA GUADALSEM,ATLEET-RAYBE TM TALAVERA,6,0,,
Jornada 3,13/10/2024,11:00,CTM AYAMONTE,FRANCISCO R. POMARES S.L. ELCHE,1,5,,
Jornada 4,19/10/2024,10:30,A.D. COLLADO MEDIANO,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,1,5,,
Jornada 4,19/10/2024,17:00,FRANCISCO R. POMARES S.L. ELCHE,CLUB DEPORTIVO HUÉTOR VEGA TM,2,4,,
Jornada 4,19/10/2024,17:30,ATLEET-RAYBE TM TALAVERA,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,2,4,,
Jornada 4,20/10/2024,10:30,CLUB CÍRCULO CULTURAL EL PALMAR,CLUB DEPORTIVO HUÉTOR VEGA TM,2,4,,
Jornada 4,20/10/2024,11:00,CTM AYAMONTE,CD NERVION TENIS DE MESA CITY,5,1,,
Jornada 4,20/10/2024,11:00,AMIGOS TM LEBRIJA GUADALSEM,CTM VEGAS DEL GENIL,4,2,,
Jornada 4,20/10/2024,12:00,CLUB TENIS DE MESA COSLADA,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,2,4,,
Jornada 5,26/10/2024,12:00,CLUB DEPORTIVO HUÉTOR VEGA TM,A.D. COLLADO MEDIANO,4,2,,
Jornada 5,26/10/2024,16:30,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,CLUB CÍRCULO CULTURAL EL PALMAR,5,1,,
Jornada 5,26/10/2024,18:00,CTM VEGAS DEL GENIL,A.D. COLLADO MEDIANO,4,2,,
Jornada 5,27/10/2024,11:00,CTM ALCALA IMPORALIA,A.D. COLLADO MEDIANO,5,1,,
Jornada 5,27/10/2024,11:00,CTM AYAMONTE,CLUB CÍRCULO CULTURAL EL PALMAR,4,3,,
Jornada 5,27/10/2024,12:00,CD NERVION TENIS DE MESA CITY,AMIGOS TM LEBRIJA GUADALSEM,2,4,,
Jornada 6,26/10/2024,10:00,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,CD NERVION TENIS DE MESA CITY,4,2,,
Jornada 6,09/11/2024,11:00,CTM VEGAS DEL GENIL,CLUB TENIS DE MESA COSLADA,4,2,,
Jornada 6,09/11/2024,17:00,CTM ALCALA IMPORALIA,CLUB TENIS DE MESA COSLADA,5,1,,
Jornada 6,09/11/2024,17:00,FRANCISCO R. POMARES S.L. ELCHE,AMIGOS TM LEBRIJA GUADALSEM,3,4,,
Jornada 6,10/11/2024,10:30,CLUB CÍRCULO CULTURAL EL PALMAR,AMIGOS TM LEBRIJA GUADALSEM,5,1,,
Jornada 6,10/11/2024,12:00,CLUB DEPORTIVO HUÉTOR VEGA TM,CLUB TENIS DE MESA COSLADA,5,1,,
Jornada 7,16/11/2024,11:00,CLUB TENIS DE MESA COSLADA,FRANCISCO R. POMARES S.L. ELCHE,1,5,,
Jornada 7,16/11/2024,17:00,A.D. COLLADO MEDIANO,FRANCISCO R. POMARES S.L. ELCHE,2,4,,
Jornada 7,16/11/2024,18:00,CTM VEGAS DEL GENIL,CLUB DEPORTIVO HUÉTOR VEGA TM,1,5,,
Jornada 7,17/11/2024,10:30,ATLEET-RAYBE TM TALAVERA,FRANCISCO R. POMARES S.L. ELCHE,3,4,,
Jornada 7,17/11/2024,11:00,AMIGOS TM LEBRIJA GUADALSEM,CTM AYAMONTE,2,4,,
Jornada 7,17/11/2024,12:00,CD NERVION TENIS DE MESA CITY,CTM ALCALA IMPORALIA,1,5,,
Jornada 8,23/11/2024,10:00,CTM ALCALA IMPORALIA,ATLEET-RAYBE TM TALAVERA,5,1,,
Jornada 8,23/11/2024,17:00,CLUB DEPORTIVO HUÉTOR VEGA TM,ATLEET-RAYBE TM TALAVERA,2,4,,
Jornada 8,23/11/2024,17:30,AMIGOS TM LEBRIJA GUADALSEM,A.D. COLLADO MEDIANO,2,4,,
Jornada 8,24/11/2024,11:00,CTM AYAMONTE,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,2,4,,
Jornada 8,24/11/2024,11:00,CTM VEGAS DEL GENIL,ATLEET-RAYBE TM TALAVERA,5,1,,
Jornada 8,24/11/2024,12:00,CD NERVION TENIS DE MESA CITY,A.D. COLLADO MEDIANO,4,3,,
Jornada 9,30/11/2024,10:30,A.D. COLLADO MEDIANO,CLUB CÍRCULO CULTURAL EL PALMAR,3,4,,
Jornada 9,30/11/2024,16:30,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,CTM ALCALA IMPORALIA,4,3,,
Jornada 9,30/11/2024,17:00,CLUB DEPORTIVO HUÉTOR VEGA TM,AMIGOS TM LEBRIJA GUADALSEM,4,2,,
Jornada 9,30/11/2024,17:30,ATLEET-RAYBE TM TALAVERA,CLUB CÍRCULO CULTURAL EL PALMAR,1,5,,
Jornada 9,01/12/2024,11:00,CTM AYAMONTE,CTM VEGAS DEL GENIL,4,3,,
Jornada 9,01/12/2024,12:00,CLUB TENIS DE MESA COSLADA,CLUB CÍRCULO CULTURAL EL PALMAR,4,2,,
Jornada 10,14/12/2024,17:00,CTM ALCALA IMPORALIA,CTM AYAMONTE,1,5,,
Jornada 10,14/12/2024,17:00,CLUB DEPORTIVO HUÉTOR VEGA TM,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,3,4,,
Jornada 10,14/12/2024,17:00,FRANCISCO R. POMARES S.L. ELCHE,CTM VEGAS DEL GENIL,4,2,,
Jornada 10,14/12/2024,17:30,AMIGOS TM LEBRIJA GUADALSEM,CLUB TENIS DE MESA COSLADA,2,4,,
Jornada 10,15/12/2024,10:30,CLUB CÍRCULO CULTURAL EL PALMAR,CTM VEGAS DEL GENIL,4,3,,
Jornada 10,15/12/2024,12:00,CD NERVION TENIS DE MESA CITY,CLUB TENIS DE MESA COSLADA,4,2,,
Jornada 11,11/01/2025,17:00,FRANCISCO R. POMARES S.L. ELCHE,CD NERVION TENIS DE MESA CITY,3,4,,
Jornada 11,12/01/2025,10:30,CLUB CÍRCULO CULTURAL EL PALMAR,CD NERVION TENIS DE MESA CITY,3,4,,
Jornada 11,12/01/2025,11:00,CTM AYAMONTE,CLUB DEPORTIVO HUÉTOR VEGA TM,3,4,,
Jornada 11,12/01/2025,11:00,AMIGOS TM LEBRIJA GUADALSEM,CTM ALCALA IMPORALIA,2,4,,
Jornada 11,12/01/2025,12:00,CLUB TENIS DE MESA COSLADA,ATLEET-RAYBE TM TALAVERA,1,5,,
Jornada 12,18/01/2025,16:30,CIRCULO MERCANTIL INDUSTRIAL DE SEVILLA,CLUB TENIS DE MESA COSLADA,5,1,,
Jornada 12,18/01/2025,17:00,CLUB DEPORTIVO HUÉTOR VEGA TM,CLUB CÍRCULO CULTURAL EL PALMAR,5,1,,
Jornada 12,19/01/2025,11:00,AMIGOS TM LEBRIJA GUADALSEM,CD NERVION TENIS DE MESA CITY,2,4,,
Jornada 12,19/01/2025,11:00,CTM AYAMONTE,CLUB TENIS DE MESA COSLADA,6,0,,
Jornada 13,01/02/2025,11:00,CLUB TENIS DE MESA COSLADA,AMIGOS TM LEBRIJA GUADALSEM,4,2,,
