jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,28/09/2024,16:00,LES BORGES GENERAL D'OLIS,TENNIS TAULA CASSÀ,3,4,,
Jornada 1,28/09/2024,17:00,CLUB PALMA TENNIS TAULA,CLUB TENNIS TAULA TRAMUNTANA FIGUERES,1,5,,
Jornada 1,28/09/2024,17:00,CTT ELS AMICS TERRASSA,SOSMATIC BADALONA,3,4,,
Jornada 1,28/09/2024,17:00,BLANXART XALOC OLESA,CENTRE NATACIO MATARO,4,2,,
Jornada 1,29/09/2024,11:00,CTT HOSPITALET VITALY,CLUB NATACIÓ SABADELL,4,2,,
Jornada 1,29/09/2024,12:00,CETT ESPARREGUERA,GIRBAU VIC T.T.,4,2,,
Jornada 2,05/10/2024,16:00,GIRBAU VIC T.T.,LES BORGES GENERAL D'OLIS,2,4,,
Jornada 2,05/10/2024,16:30,CLUB TENNIS TAULA TRAMUNTANA FIGUERES,SOSMATIC BADALONA,4,2,,
Jornada 2,05/10/2024,17:00,CLUB PALMA TENNIS TAULA,CETT ESPARREGUERA,2,4,,
Jornada 2,05/10/2024,17:00,TENNIS TAULA CASSÀ,BLANXART XALOC OLESA,6,0,,
Jornada 2,05/10/2024,17:00,CENTRE NATACIO MATARO,CTT HOSPITALET VITALY,3,4,,
Jornada 2,05/10/2024,17:00,CLUB NATACIÓ SABADELL,CTT ELS AMICS TERRASSA,6,0,,
Jornada 3,12/10/2024,16:00,LES BORGES GENERAL D'OLIS,CLUB PALMA TENNIS TAULA,5,1,,
Jornada 3,12/10/2024,17:00,CTT ELS AMICS TERRASSA,CENTRE NATACIO MATARO,4,2,,
Jornada 3,12/10/2024,17:00,BLANXART XALOC OLESA,GIRBAU VIC T.T.,2,4,,
Jornada 3,12/10/2024,17:30,SOSMATIC BADALONA,CLUB NATACIÓ SABADELL,1,5,,
Jornada 3,13/10/2024,11:00,CTT HOSPITALET VITALY,TENNIS TAULA CASSÀ,4,2,,
Jornada 3,13/10/2024,12:00,CETT ESPARREGUERA,CLUB TENNIS TAULA TRAMUNTANA FIGUERES,0,6,,
Jornada 4,19/10/2024,16:00,GIRBAU VIC T.T.,CTT HOSPITALET VITALY,3,4,,
Jornada 4,19/10/2024,16:30,CLUB TENNIS TAULA TRAMUNTANA FIGUERES,CLUB NATACIÓ SABADELL,1,5,,
Jornada 4,19/10/2024,17:00,CLUB PALMA TENNIS TAULA,BLANXART XALOC OLESA,3,4,,
Jornada 4,19/10/2024,17:00,TENNIS TAULA CASSÀ,CTT ELS AMICS TERRASSA,5,1,,
Jornada 4,19/10/2024,17:00,CENTRE NATACIO MATARO,SOSMATIC BADALONA,4,3,,
