jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,19/10/2024,11:00,CORVERASTUR TM,EDAI VENDING GASTEIZ,2,4,,
Jornada 1,19/10/2024,11:00,LUARCA TENIS DE MESA,IRUN LEKA ENEA,4,3,,
Jornada 1,19/10/2024,11:00,T.M.DEFENSE NOVA INFORMÁTICA,CTM ABADIÑO-EKIN,5,1,,
Jornada 1,19/10/2024,16:30,CORVERASTUR TM,CTM ABADIÑO-EKIN,1,5,,
Jornada 1,19/10/2024,16:30,LUARCA TENIS DE MESA,EDAI VENDING GASTEIZ,0,6,,
Jornada 1,19/10/2024,16:30,T.M.DEFENSE NOVA INFORMÁTICA,IRUN LEKA ENEA,5,1,,
Jornada 1,19/10/2024,16:30,CDE ANTONIO MENDOZA,UNIVERSIDAD DE BURGOS - RM TERÁN,0,6,,
Jornada 1,19/10/2024,19:00,CORVERASTUR TM,IRUN LEKA ENEA,3,4,,
Jornada 1,19/10/2024,19:00,T.M.DEFENSE NOVA INFORMÁTICA,EDAI VENDING GASTEIZ,2,4,,
Jornada 1,19/10/2024,19:00,LUARCA TENIS DE MESA,CTM ABADIÑO-EKIN,2,4,,
Jornada 2,16/11/2024,11:00,CORVERASTUR TM,UNIVERSIDAD DE BURGOS - RM TERÁN,1,5,,
Jornada 2,16/11/2024,11:00,EDAI VENDING GASTEIZ,CTM ABADIÑO-EKIN,5,1,,
Jornada 2,16/11/2024,11:00,LUARCA TENIS DE MESA,CDE ANTONIO MENDOZA,4,2,,
Jornada 2,16/11/2024,16:30,IRUN LEKA ENEA,EDAI VENDING GASTEIZ,0,6,,
Jornada 2,16/11/2024,16:30,LUARCA TENIS DE MESA,UNIVERSIDAD DE BURGOS - RM TERÁN,3,4,,
Jornada 2,16/11/2024,16:30,T.M.DEFENSE NOVA INFORMÁTICA,CDE ANTONIO MENDOZA,6,0,,
Jornada 2,16/11/2024,19:00,CORVERASTUR TM,CDE ANTONIO MENDOZA,4,3,,
Jornada 2,16/11/2024,19:00,T.M.DEFENSE NOVA INFORMÁTICA,UNIVERSIDAD DE BURGOS - RM TERÁN,4,2,,
Jornada 2,16/11/2024,19:00,CTM ABADIÑO-EKIN,IRUN LEKA ENEA,5,1,,
Jornada 3,14/12/2024,11:00,CDE ANTONIO MENDOZA,IRUN LEKA ENEA,3,4,,
Jornada 3,14/12/2024,11:00,CORVERASTUR TM,T.M.DEFENSE NOVA INFORMÁTICA,0,6,,
Jornada 3,14/12/2024,11:00,UNIVERSIDAD DE BURGOS - RM TERÁN,EDAI VENDING GASTEIZ,4,3,,
Jornada 3,14/12/2024,16:30,CDE ANTONIO MENDOZA,EDAI VENDING GASTEIZ,2,4,,
Jornada 3,14/12/2024,16:30,T.M.DEFENSE NOVA INFORMÁTICA,LUARCA TENIS DE MESA,6,0,,
Jornada 3,14/12/2024,16:30,UNIVERSIDAD DE BURGOS - RM TERÁN,CTM ABADIÑO-EKIN,4,2,,
Jornada 3,14/12/2024,19:00,UNIVERSIDAD DE BURGOS - RM TERÁN,IRUN LEKA ENEA,5,1,,
Jornada 3,14/12/2024,19:00,CDE ANTONIO MENDOZA,CTM ABADIÑO-EKIN,2,4,,
Jornada 3,14/12/2024,19:00,LUARCA TENIS DE MESA,CORVERASTUR TM,4,3,,
Jornada 4,08/02/2025,11:00,CTM ABADIÑO-EKIN,T.M.DEFENSE NOVA INFORMÁTICA,2,4,,
Jornada 4,08/02/2025,11:00,EDAI VENDING GASTEIZ,CORVERASTUR TM,6,0,,
Jornada 4,08/02/2025,11:00,IRUN LEKA ENEA,LUARCA TENIS DE MESA,4,3,,
Jornada 4,08/02/2025,11:00,UNIVERSIDAD DE BURGOS - RM TERÁN,CDE ANTONIO MENDOZA,6,0,,
Jornada 4,08/02/2025,16:30,CTM ABADIÑO-EKIN,CORVERASTUR TM,6,0,,
Jornada 4,08/02/2025,16:30,EDAI VENDING GASTEIZ,LUARCA TENIS DE MESA,4,3,,
Jornada 4,08/02/2025,16:30,IRUN LEKA ENEA,T.M.DEFENSE NOVA INFORMÁTICA,0,6,,
Jornada 4,08/02/2025,19:00,CTM ABADIÑO-EKIN,LUARCA TENIS DE MESA,4,2,,
Jornada 4,08/02/2025,19:00,EDAI VENDING GASTEIZ,T.M.DEFENSE NOVA INFORMÁTICA,1,5,,
Jornada 4,08/02/2025,19:00,IRUN LEKA ENEA,CORVERASTUR TM,6,0,,
Jornada 5,22/03/2025,11:00,CDE ANTONIO MENDOZA,LUARCA TENIS DE MESA,4,2,,
Jornada 5,22/03/2025,11:00,CTM ABADIÑO-EKIN,EDAI VENDING GASTEIZ,3,4,,
Jornada 5,22/03/2025,11:00,UNIVERSIDAD DE BURGOS - RM TERÁN,CORVERASTUR TM,5,1,,
Jornada 5,22/03/2025,16:30,CDE ANTONIO MENDOZA,T.M.DEFENSE NOVA INFORMÁTICA,0,6,,
Jornada 5,22/03/2025,16:30,EDAI VENDING GASTEIZ,IRUN LEKA ENEA,4,3,,
Jornada 5,22/03/2025,16:30,UNIVERSIDAD DE BURGOS - RM TERÁN,LUARCA TENIS DE MESA,5,1,,
Jornada 5,22/03/2025,19:00,CDE ANTONIO MENDOZA,CORVERASTUR TM,2,4,,
Jornada 5,22/03/2025,19:00,IRUN LEKA ENEA,CTM ABADIÑO-EKIN,2,4,,
Jornada 5,22/03/2025,19:00,UNIVERSIDAD DE BURGOS - RM TERÁN,T.M.DEFENSE NOVA INFORMÁTICA,4,3,,
Jornada 6,03/05/2025,11:00,EDAI VENDING GASTEIZ,UNIVERSIDAD DE BURGOS - RM TERÁN,2,4,,
Jornada 6,03/05/2025,11:00,IRUN LEKA ENEA,CDE ANTONIO MENDOZA,3,4,,
Jornada 6,03/05/2025,11:00,T.M.DEFENSE NOVA INFORMÁTICA,CORVERASTUR TM,6,0,,
Jornada 6,03/05/2025,16:30,CTM ABADIÑO-EKIN,UNIVERSIDAD DE BURGOS - RM TERÁN,0,6,,
Jornada 6,03/05/2025,16:30,EDAI VENDING GASTEIZ,CDE ANTONIO MENDOZA,6,0,,
Jornada 6,03/05/2025,19:00,CTM ABADIÑO-EKIN,CDE ANTONIO MENDOZA,5,1,,
Jornada 6,03/05/2025,19:00,IRUN LEKA ENEA,UNIVERSIDAD DE BURGOS - RM TERÁN,0,6,,
Jornada 6,03/05/2025,19:00,LUARCA TENIS DE MESA,T.M.DEFENSE NOVA INFORMÁTICA,0,6,,
