Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,2017649,CORVERASTUR TM,20191571,CLUB DEPORTIVO COYANZA,CRISTINA FERNANDEZ SANCHEZ, 2046,A,SARA BERNARDO FUENTES, 31693,Y,,,,,11-2,11-2,11-2,,,3-0,1 - 0
singles,1,2017649,CORVERASTUR TM,20191571,CLUB DEPORTIVO COYANZA,MARIA LOZANO LOPEZ, 3789,B,LUCIA GONZALEZ RODRIGUEZ, 24211,X,,,,,5-11,1-11,3-11,,,0-3,1 - 1
singles,1,2017649,CORVERASTUR TM,20191571,CLUB DEPORTIVO COYANZA,ADRIANA BELVER DIAZ, 23479,C,ISABEL BERNARDO FUENTES, 31696,Z,,,,,9-11,5-11,11-6,15-13,11-13,2-3,1 - 2
singles,1,2017649,CORVERASTUR TM,20191571,CLUB DEPORTIVO COYANZA,CRISTINA FERNANDEZ SANCHEZ, 2046,A,LUCIA GONZALEZ RODRIGUEZ, 24211,X,,,,,11-4,11-4,11-3,,,3-0,2 - 2
singles,1,2017649,CORVERASTUR TM,20191571,CLUB DEPORTIVO COYANZA,ADRIANA BELVER DIAZ, 23479,C,SARA BERNARDO FUENTES, 31693,Y,,,,,11-3,11-2,11-3,,,3-0,3 - 2
singles,1,2017649,CORVERASTUR TM,20191571,CLUB DEPORTIVO COYANZA,MARIA LOZANO LOPEZ, 3789,B,ISABEL BERNARDO FUENTES, 31696,Z,,,,,6-11,5-11,10-12,,,0-3,3 - 3
doubles,1,2017649,CORVERASTUR TM,20191571,CLUB DEPORTIVO COYANZA,,,D,,,D,CRISTINA FERNANDEZ SANCHEZ,2046,ADRIANA BELVER DIAZ,23479,5-11,3-11,11-3,10-12,,1-3,3 - 4
singles,2,2017649,CORVERASTUR TM,14065,UNIVERSIDAD DE BURGOS - RM TERÁN,MARIA BERZOSA CASAS, 20735,A,MIRIAM MARTINEZ VERA, 3420,Y,,,,,11-3,11-3,11-4,,,3-0,1 - 0
singles,2,2017649,CORVERASTUR TM,14065,UNIVERSIDAD DE BURGOS - RM TERÁN,ESTHER HASEK MENDEZ, 33469,B,JULIA VAN DOMSELAAR, 38466,X,,,,,7-11,7-11,11-6,11-6,12-10,3-2,2 - 0
singles,2,2017649,CORVERASTUR TM,14065,UNIVERSIDAD DE BURGOS - RM TERÁN,DRANCA DORINA CODRUTA, 21070,C,CRISTINA FERNANDEZ SANCHEZ, 2046,Z,,,,,10-12,11-5,10-12,11-4,11-3,3-2,3 - 0
singles,2,2017649,CORVERASTUR TM,14065,UNIVERSIDAD DE BURGOS - RM TERÁN,MARIA BERZOSA CASAS, 20735,A,JULIA VAN DOMSELAAR, 38466,X,,,,,11-3,11-6,11-4,,,3-0,4 - 0
singles,2,2017649,CORVERASTUR TM,14065,UNIVERSIDAD DE BURGOS - RM TERÁN,DRANCA DORINA CODRUTA, 21070,C,MIRIAM MARTINEZ VERA, 3420,Y,,,,,11-2,11-2,11-5,,,3-0,5 - 0
singles,2,2017649,CORVERASTUR TM,14065,UNIVERSIDAD DE BURGOS - RM TERÁN,ESTHER HASEK MENDEZ, 33469,B,CRISTINA FERNANDEZ SANCHEZ, 2046,Z,,,,,7-11,9-11,7-11,,,0-3,5 - 1
singles,4,788,CIDADE DE NARON,2017649,CORVERASTUR TM,GEMA PEREZ FERNANDEZ, 38221,A,SOFÍA COUCE INSUA, 20841,Y,,,,,1-11,2-11,1-11,,,0-3,0 - 1
singles,4,788,CIDADE DE NARON,2017649,CORVERASTUR TM,PAULA ESCRIBANO PEREZ, 33476,B,CANDELA MONTERO CAAVEIRO, 23573,X,,,,,2-11,3-11,4-11,,,0-3,0 - 2
singles,4,788,CIDADE DE NARON,2017649,CORVERASTUR TM,CRISTINA FERNANDEZ SANCHEZ, 2046,C,ANNA MIKLUKHA, 39551,Z,,,,,8-11,3-11,8-11,,,0-3,0 - 3
singles,4,788,CIDADE DE NARON,2017649,CORVERASTUR TM,GEMA PEREZ FERNANDEZ, 38221,A,CANDELA MONTERO CAAVEIRO, 23573,X,,,,,3-11,2-11,3-11,,,0-3,0 - 4
singles,4,788,CIDADE DE NARON,2017649,CORVERASTUR TM,CRISTINA FERNANDEZ SANCHEZ, 2046,C,SOFÍA COUCE INSUA, 20841,Y,,,,,11-7,9-11,5-11,8-11,,1-3,0 - 5
singles,4,788,CIDADE DE NARON,2017649,CORVERASTUR TM,PAULA ESCRIBANO PEREZ, 33476,B,ANNA MIKLUKHA, 39551,Z,,,,,1-11,7-11,3-11,,,0-3,0 - 6
singles,4,20201857,CLUB DEL MAR DE SAN AMARO,2017649,CORVERASTUR TM,RAQUEL BONILLA GONZALEZ, 3905,A,LAURA FERNANDEZ DOMINGUEZ, 35416,Y,,,,,12-10,11-2,11-4,,,3-0,1 - 0
singles,4,20201857,CLUB DEL MAR DE SAN AMARO,2017649,CORVERASTUR TM,ZARINA GONZALEZ-NUEVO FERNANDEZ, 2229,B,MIAO CHEN, 26307,X,,,,,8-11,7-11,2-11,,,0-3,1 - 1
