name,id_raw,id,division,group,genre,category,url
REAL CAJASUR PRIEGO TM,24,24,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=24
UNIVERSIDAD DE BURGOS - TPF,385,385,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=385
CTM MURCIA,72,72,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=72
IRUN LEKA ENEA MARPEX,39,39,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=39
C.E.R. L ESCALA,23,23,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=23
A.D.VINCIOS,934,934,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=934
ALICANTE TM,73,73,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=73
ARTEAL SANTIAGO,21,21,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=21
ASISA BORGES VALL,767,767,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=767
CD COVIRÁN HUÉTOR VEGA TM,10312,10312,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=10312
VISIT PONTEVEDRA,1034,1034,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=1034
SAN SEBASTIAN DE LOS REYES,1348,1348,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=1348
DOC SERVICIOS HISPALIS,1344,1344,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=1344
A.D.T.M. LEGANES,226,226,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=226
UCAM CARTAGENA TM,9,9,Superdivisión Femenina G1,,female,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=9
VIDRIO SERVICE TM,1221,1221,Superdivisión Femenina G1,,female,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=1221
COVICSA-CTT SANTA EULARIA,1150,1150,Superdivisión Femenina G1,,female,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=1150
ALICANTE TM,664,664,Superdivisión Femenina G1,,female,super-divisio,https://www.rfetm.es/resultados/2020-2021/view.php?eqdat=664
