name,id_raw,id,division,group,genre,category,url
CAJASUR PRIEGO TM,24,24,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=24
ARTEAL TM,21,21,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=21
BORGES GRUP VALL,767,767,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=767
IRUN LEKA ENEA,39,39,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=39
UNIVERSIDAD DE BURGOS - TPF,385,385,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=385
A.D.VINCIOS,934,934,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=934
SAN SEBASTIAN DE LOS REYES,1348,1348,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=1348
C.E.R. L ESCALA,23,23,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=23
FUNDACION CAJASOL HISPALIS,1344,1344,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=1344
VISIT PONTEVEDRA,1034,1034,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=1034
CAMBADOS TENIS DE MESA,221,221,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=221
VILAGARCIA  TENIS DE MESA,126,126,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=126
UCAM CARTAGENA TM,9,9,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=9
TECNIGEN LINARES,1052,1052,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=1052
ASSSA ALICANTE TM,664,664,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=664
GIRBAU VIC T.T.,3,3,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=3
IRUN LEKA ENEA,1297,1297,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=1297
ARTEAL,974,974,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=974
C.D.T.M. RIVAS,10828,10828,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=10828
SURIS CALELLA,5,5,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=5
HOTEL-MUSEO PATRIA CHICA PRIEGO TM,1221,1221,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=1221
COVICSA-CTT SANTA EULARIA,1150,1150,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=1150
BALAGUER - VILLART LOGISTIC,1113,1113,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2018-2019/view.php?eqdat=1113
