name,id_raw,id,division,group,genre,category,url
REAL CAJASUR PRIEGO TM,24,24,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=24
ALICANTE TM,73,73,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=73
ARTEAL SANTIAGO,21,21,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=21
IRUN LEKA ENEA,39,39,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=39
ENOLI LES BORGES VALL,1348,1348,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=1348
VISIT PONTEVEDRA,1034,1034,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=1034
C.T.T. OLOT - CAPDEVILA PERMAR,811,811,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=811
UNIVERSIDAD DE BURGOS - TPF,385,385,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=385
HORTITEC ALZIRA TT,193,193,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=193
C.E.R. ROBIN HAT/PRISCO L´ESCALA,23,23,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=23
TECNIGEN LINARES,177,177,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=177
SANTJOSEP.NET - SANT JORDI,911,911,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=911
UCAM CARTAGENA TM,9,9,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=9
UNIVERSIDAD DE BURGOS - RM TERÁN,14065,14065,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=14065
SON CLADERA TTC - MALLORCA,16215,16215,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=16215
MIRÓ GANXETS COSTA DAURADA,14054,14054,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=14054
CLINIQAS.COM,20191314,20191314,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=20191314
HUJASE JAÉN PARAISO INTERIOR,2018826,2018826,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=2018826
MUSEO DE LA ALMENDRA FRANCISCO MORALES,1221,1221,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=1221
GIRBAU VIC T.T.,3,3,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=3
CLUB TENNIS TAULA TRAMUNTANA FIGUERES,10422,10422,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=10422
IRUN LEKA ENEA,1297,1297,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=1297
UNIÓ ESPORTIVA SANT CUGAT,20191319,20191319,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=20191319
ATLÉTICO SAN SEBASTIÁN,10759,10759,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=10759
MADRID CAPITAL TM,942,942,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=942
CONCELLO DE CAMBADOS,221,221,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=221
SEGHOS ESCUELA TENIS DE MESA,2017364,2017364,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=2017364
ONE VISION PARLA,10770,10770,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=10770
ETM HOTEL MARQUES DE SANTILLANA,1351,1351,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=1351
CLUB DEL MAR,937,937,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=937
BOADILLA  T.M. CEIP TERESA BERGANZA,20191284,20191284,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2024-2025/view.php?eqdat=20191284
