name,id_raw,id,division,group,genre,category,url
REAL CAJASUR PRIEGO TM,24,24,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=24
ASISA BORGES VALL,767,767,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=767
IRUN LEKA ENEA,39,39,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=39
ARTEAL TM,21,21,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=21
VISIT PONTEVEDRA,1034,1034,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=1034
UNIVERSIDAD DE BURGOS - TPF,385,385,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=385
A.D.VINCIOS,934,934,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=934
HISPALIS T.M,1344,1344,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=1344
C.E.R. L ESCALA,23,23,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=23
SAN SEBASTIAN DE LOS REYES,1348,1348,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=1348
ASSSA ALICANTE TM,73,73,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=73
A.D.T.M. LEGANES,226,226,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=226
UCAM CARTAGENA TM,9,9,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=9
GIRBAU VIC TT,3,3,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=3
IRUN LEKA ENEA,1297,1297,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=1297
ASSSA ALICANTE TM,664,664,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=664
TECNIGEN LINARES,1052,1052,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=1052
HOTEL-MUSEO PATRIA CHICA PRIEGO TM,1221,1221,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=1221
COVICSA-CTT SANTA EULARIA,1150,1150,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=1150
REUS GANXETS MIRÓ,14054,14054,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=14054
HISPALIS TM,2017552,2017552,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=2017552
C.D.T.M. RIVAS,10828,10828,Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2019-2020/view.php?eqdat=10828
