name,id_raw,id,division,group,genre,category,url
REAL CAJASUR PRIEGO TM,24,24,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=24
HORTITEC ALZIRA TT,193,193,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=193
IRUN LEKA ENEA MARPEX,39,39,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=39
UNIVERSIDAD DE BURGOS - TPF,385,385,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=385
CTM MURCIA,72,72,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=72
CD COVIRÁN HUÉTOR VEGA TM,10312,10312,Superdivisión Masculina G1,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=10312
ASISA BORGES VALL,767,767,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=767
ARTEAL SD COMPOSTELA,21,21,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=21
VISIT PONTEVEDRA,1034,1034,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=1034
SAN SEBASTIAN DE LOS REYES,1348,1348,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=1348
C.E.R. ROBIN PRISCO L´ESCALA,23,23,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=23
CLUB TENIS DE MESA MÓSTOLES,283,283,Superdivisión Masculina G2,,male,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=283
UCAM CARTAGENA TM,9,9,Liga IBERDROLA Superdivisión Femenina G1,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=9
TECNIGEN LINARES,1052,1052,Liga IBERDROLA Superdivisión Femenina G1,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=1052
GIRBAU VIC T.T.,3,3,Liga IBERDROLA Superdivisión Femenina G1,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=3
MUSEO DE LA ALMENDRA FRANCISCO MORALES,1221,1221,Liga IBERDROLA Superdivisión Femenina G1,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=1221
TENNIS TAULA TRAMUNTANA FIGUERES,10422,10422,Liga IBERDROLA Superdivisión Femenina G1,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=10422
CLUB TENIS DE MESA VEGAS DEL GENIL,20191255,20191255,Liga IBERDROLA Superdivisión Femenina G1,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=20191255
SON CLADERA TTC,16215,16215,Liga IBERDROLA Superdivisión Femenina G2,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=16215
HUJASE JAÉN PARAÍSO INTERIOR,14052,14052,Liga IBERDROLA Superdivisión Femenina G2,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=14052
IRUN LEKA ENEA T.M. CHEMA GEWO,1297,1297,Liga IBERDROLA Superdivisión Femenina G2,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=1297
REUS GANXETS MIRÓ,14054,14054,Liga IBERDROLA Superdivisión Femenina G2,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=14054
COVICSA-CTT SANTA EULARIA,1150,1150,Liga IBERDROLA Superdivisión Femenina G2,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=1150
UNIVERSIDAD DE BURGOS - RM TERÁN,14065,14065,Liga IBERDROLA Superdivisión Femenina G2,,female,super-divisio,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=14065
ETM HOTEL MARQUES DE SANTILLANA,1351,1351,División de Honor Masculina - Grupo 1A,1A,male,divisio-honor,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=1351
VILAGARCIA  TENIS DE MESA,126,126,División de Honor Masculina - Grupo 1A,1A,male,divisio-honor,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=126
CTM MILAGROSA,1388,1388,División de Honor Masculina - Grupo 1A,1A,male,divisio-honor,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=1388
CAMBADOS TENIS DE MESA,221,221,División de Honor Masculina - Grupo 1A,1A,male,divisio-honor,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=221
A.D.VINCIOS / ROSQUILLAS CRISTALEIRO,934,934,División de Honor Masculina - Grupo 1A,1A,male,divisio-honor,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=934
MONTE PORREIRO PUB PATRIMONIO,1284,1284,División de Honor Masculina - Grupo 1A,1A,male,divisio-honor,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=1284
ONE VISION PARLA,10770,10770,División de Honor Masculina - Grupo 1B,1B,male,divisio-honor,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=10770
IRUN LEKA ENEA ASCENSORES BIDASOA,139,139,División de Honor Masculina - Grupo 1B,1B,male,divisio-honor,https://www.rfetm.es/resultados/2021-2022/view.php?eqdat=139
