name,id_raw,id,division,group,genre,category,url
REAL CAJASUR PRIEGO TM,24,24,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=24
UNIVERSIDAD DE BURGOS - TPF,385,385,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=385
ARTEAL SANTIAGO,21,21,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=21
VISIT PONTEVEDRA,1034,1034,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=1034
C.E.R. ROBIN HAT PRISCO L´ESCALA,23,23,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=23
HORTITEC ALZIRA TT,193,193,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=193
C.T.T. OLOT - GABINET PERMAR,811,811,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=811
IRUN LEKA ENEA,39,39,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=39
SAN SEBASTIAN DE LOS REYES,1348,1348,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=1348
ALICANTE TM,73,73,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=73
ENoLI LES BORGES VALL,767,767,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=767
COLLADO MEDIANO TM /AGRUPACION DEPORTIVA,56,56,Superdivisión Masculina,,male,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=56
UCAM CARTAGENA TM,9,9,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=9
MUSEO DE LA ALMENDRA FRANCISCO MORALES,1221,1221,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=1221
UNIVERSIDAD DE BURGOS - RM TERÁN,14065,14065,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=14065
GIRBAU VIC T.T.,3,3,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=3
SON CLADERA TTC - MALLORCA,16215,16215,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=16215
MIRÓ GANXETS REUS,14054,14054,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=14054
UNIÓ ESPORTIVA SANT CUGAT,20191319,20191319,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=20191319
IRUN LEKA ENEA,1297,1297,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=1297
CLUB TENNIS TAULA TRAMUNTANA FIGUERES,10422,10422,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=10422
TECNIGEN LINARES,1052,1052,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=1052
HUJASE JAÉN PARAÍSO INTERIOR,14052,14052,Liga IBERDROLA Superdivisión Femenina,,female,super-divisio,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=14052
ATLÉTICO SAN SEBASTIÁN,10759,10759,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=10759
ETM HOTEL MARQUES DE SANTILLANA,1351,1351,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=1351
IRUN LEKA ENEA,139,139,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=139
GONDOMAR TM / ROSQUILLAS CRISTALEIRO,934,934,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=934
LECHE GAZA TENIS DE MESA,2018812,2018812,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=2018812
CLUB DEL MAR,937,937,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=937
ONE VISION PARLA,10770,10770,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=10770
PUBLIMAX CAI SANTIAGO T.M.,204,204,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=204
SEGHOS ESCUELA TENIS DE MESA,2017364,2017364,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=2017364
VILAGARCIA  TENIS DE MESA,126,126,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=126
UNIVERSIDAD DE BURGOS - TPF,790,790,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=790
CTM MILAGROSA,1388,1388,División de Honor Masculina - Grupo 1,1,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=1388
SANTJOSEP.NET - SANT JORDI,911,911,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=911
LES BORGES GENERAL D'OLIS,305,305,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=305
CLUB NATACIÓ SABADELL,132,132,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=132
GIRBAU VIC T.T.,45,45,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=45
CETT ESPARREGUERA,40,40,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=40
TENNIS TAULA CASSÁ,41,41,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=41
CTT ELS AMICS TERRASSA,1272,1272,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=1272
SOSMATIC BADALONA,1072,1072,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=1072
CLUB TENNIS TAULA TRAMUNTANA FIGUERES,1016,1016,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=1016
C.T.T. OLOT - EIO,768,768,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=768
CTT MOLLERUSSA PREFABRICATS PUJOL,845,845,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=845
TERMOTUR CALELLA,150,150,División de Honor Masculina - Grupo 2,2,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=150
AQADEM.COM,177,177,División de Honor Masculina - Grupo 3,3,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=177
FRANCISCO R. POMARES S.L. ELCHE,234,234,División de Honor Masculina - Grupo 3,3,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=234
CTM MURCIA,72,72,División de Honor Masculina - Grupo 3,3,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=72
CTM VEGAS DEL GENIL,15,15,División de Honor Masculina - Grupo 3,3,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=15
CLUB DEPORTIVO HUÉTOR VEGA TM,10312,10312,División de Honor Masculina - Grupo 3,3,male,divisio-honor,https://www.rfetm.es/resultados/2023-2024/view.php?eqdat=10312
