jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,13/11/2021,12:30,LUARCA TENIS DE MESA,UNIVERSIDAD DE BURGOS - RM TERÁN,5,1,,
Jornada 1,13/11/2021,12:30,CORVERASTUR TM,CLUB DEPORTIVO COYANZA,2,4,,
Jornada 1,13/11/2021,17:00,LUARCA TENIS DE MESA,ETM AMADIS PAPELERIA,2,4,,
Jornada 1,13/11/2021,17:00,CORVERASTUR TM,UNIVERSIDAD DE BURGOS - RM TERÁN,5,1,,
Jornada 1,13/11/2021,19:00,ATLETICO SAN SEBASTIAN,IRUN LEKA ENEA,4,2,,
Jornada 1,13/11/2021,19:30,LUARCA TENIS DE MESA,CLUB DEPORTIVO COYANZA,2,4,,
Jornada 1,13/11/2021,19:30,CORVERASTUR TM,ETM AMADIS PAPELERIA,2,4,,
Jornada 2,11/12/2021,16:30,UNIVERSIDAD DE BURGOS - RM TERÁN,IRUN LEKA ENEA,2,4,,
Jornada 2,11/12/2021,16:30,ETM AMADIS PAPELERIA,ATLETICO SAN SEBASTIAN,5,1,,
Jornada 2,11/12/2021,19:00,LUARCA TENIS DE MESA,CORVERASTUR TM,3,4,,
Jornada 2,11/12/2021,19:00,ETM AMADIS PAPELERIA,IRUN LEKA ENEA,0,6,,
Jornada 2,11/12/2021,19:00,CLUB DEPORTIVO COYANZA,ATLETICO SAN SEBASTIAN,5,1,,
Jornada 2,12/12/2021,11:00,UNIVERSIDAD DE BURGOS - RM TERÁN,ATLETICO SAN SEBASTIAN,2,4,,
Jornada 2,12/12/2021,11:00,CLUB DEPORTIVO COYANZA,IRUN LEKA ENEA,4,2,,
Jornada 3,15/01/2022,11:00,UNIVERSIDAD DE BURGOS - RM TERÁN,CLUB DEPORTIVO COYANZA,1,5,,
Jornada 3,15/01/2022,11:00,IRUN LEKA ENEA,LUARCA TENIS DE MESA,4,2,,
Jornada 3,15/01/2022,16:30,IRUN LEKA ENEA,CORVERASTUR TM,4,2,,
Jornada 3,15/01/2022,16:30,CLUB DEPORTIVO COYANZA,ETM AMADIS PAPELERIA,6,0,,
Jornada 3,15/01/2022,16:30,ATLETICO SAN SEBASTIAN,LUARCA TENIS DE MESA,0,6,,
Jornada 3,15/01/2022,19:00,ETM AMADIS PAPELERIA,UNIVERSIDAD DE BURGOS - RM TERÁN,4,2,,
Jornada 3,15/01/2022,19:00,ATLETICO SAN SEBASTIAN,CORVERASTUR TM,2,4,,
Jornada 4,12/02/2022,11:00,UNIVERSIDAD DE BURGOS - RM TERÁN,LUARCA TENIS DE MESA,2,4,,
Jornada 4,12/02/2022,11:00,CLUB DEPORTIVO COYANZA,CORVERASTUR TM,5,1,,
Jornada 4,12/02/2022,16:30,UNIVERSIDAD DE BURGOS - RM TERÁN,CORVERASTUR TM,4,3,,
Jornada 4,12/02/2022,16:30,IRUN LEKA ENEA,ATLETICO SAN SEBASTIAN,6,0,,
Jornada 4,12/02/2022,16:30,ETM AMADIS PAPELERIA,LUARCA TENIS DE MESA,4,3,,
Jornada 4,12/02/2022,19:00,ETM AMADIS PAPELERIA,CORVERASTUR TM,6,0,,
Jornada 4,12/02/2022,19:00,CLUB DEPORTIVO COYANZA,LUARCA TENIS DE MESA,5,1,,
Jornada 5,19/03/2022,11:00,IRUN LEKA ENEA,UNIVERSIDAD DE BURGOS - RM TERÁN,4,2,,
Jornada 5,19/03/2022,11:00,ATLETICO SAN SEBASTIAN,ETM AMADIS PAPELERIA,3,4,,
Jornada 5,19/03/2022,16:30,IRUN LEKA ENEA,ETM AMADIS PAPELERIA,2,4,,
Jornada 5,19/03/2022,16:30,CORVERASTUR TM,LUARCA TENIS DE MESA,5,1,,
Jornada 5,19/03/2022,16:30,ATLETICO SAN SEBASTIAN,CLUB DEPORTIVO COYANZA,1,5,,
Jornada 5,19/03/2022,19:00,IRUN LEKA ENEA,CLUB DEPORTIVO COYANZA,1,5,,
Jornada 5,19/03/2022,19:00,ATLETICO SAN SEBASTIAN,UNIVERSIDAD DE BURGOS - RM TERÁN,4,3,,
Jornada 6,23/04/2022,16:30,LUARCA TENIS DE MESA,ATLETICO SAN SEBASTIAN,3,4,,
Jornada 6,23/04/2022,16:30,CORVERASTUR TM,IRUN LEKA ENEA,2,4,,
Jornada 6,23/04/2022,16:30,CLUB DEPORTIVO COYANZA,UNIVERSIDAD DE BURGOS - RM TERÁN,4,2,,
Jornada 6,23/04/2022,19:00,LUARCA TENIS DE MESA,IRUN LEKA ENEA,4,2,,
Jornada 6,23/04/2022,19:00,ETM AMADIS PAPELERIA,CLUB DEPORTIVO COYANZA,1,5,,
Jornada 6,23/04/2022,19:00,CORVERASTUR TM,ATLETICO SAN SEBASTIAN,2,4,,
Jornada 6,24/04/2022,11:00,UNIVERSIDAD DE BURGOS - RM TERÁN,ETM AMADIS PAPELERIA,3,4,,
