jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,28/09/2019,16:00,CD ARTXANDAKO MAHAI TENISA,SCDR ANAITASUNA,5,1,,
Jornada 1,28/09/2019,16:30,IRUN LEKA ENEA,GURE TALDE,2,4,,
Jornada 1,28/09/2019,17:00,OBERENA,MARPEX BERAUN ERRENTERIA TM,4,2,,
Jornada 1,28/09/2019,17:00,FUENCAMPO - GASTEIZ,PORTUGALETE GURE TALDE,4,2,,
Jornada 1,28/09/2019,17:00,CAFÉS LA BRASILEÑA-GAILAK,UNIVERSIDAD DE BURGOS - TPF,4,3,,
Jornada 2,05/10/2019,16:00,UNIVERSIDAD DE BURGOS - TPF,CD ARTXANDAKO MAHAI TENISA,3,4,,
Jornada 2,05/10/2019,16:00,MARPEX BERAUN ERRENTERIA TM,GURE TALDE,3,4,,
Jornada 2,05/10/2019,16:30,SCDR ANAITASUNA,FUENCAMPO - GASTEIZ,1,5,,
Jornada 2,05/10/2019,17:00,OBERENA,PORTUGALETE GURE TALDE,6,0,,
Jornada 2,05/10/2019,18:00,C.D FORTUNA K.E - SUPER AMARA,CAFÉS LA BRASILEÑA-GAILAK,5,1,,
Jornada 3,12/10/2019,16:00,CD ARTXANDAKO MAHAI TENISA,C.D FORTUNA K.E - SUPER AMARA,2,4,,
Jornada 3,12/10/2019,16:30,SCDR ANAITASUNA,OBERENA,1,5,,
Jornada 3,12/10/2019,16:30,IRUN LEKA ENEA,MARPEX BERAUN ERRENTERIA TM,2,4,,
Jornada 3,12/10/2019,17:00,FUENCAMPO - GASTEIZ,UNIVERSIDAD DE BURGOS - TPF,4,2,,
Jornada 3,12/10/2019,17:30,GURE TALDE,PORTUGALETE GURE TALDE,6,0,,
Jornada 4,19/10/2019,16:30,SCDR ANAITASUNA,GURE TALDE,0,6,,
Jornada 4,19/10/2019,17:00,CAFÉS LA BRASILEÑA-GAILAK,CD ARTXANDAKO MAHAI TENISA,4,2,,
Jornada 4,19/10/2019,17:00,OBERENA,UNIVERSIDAD DE BURGOS - TPF,6,0,,
Jornada 4,19/10/2019,17:30,PORTUGALETE GURE TALDE,IRUN LEKA ENEA,0,6,,
Jornada 4,19/10/2019,18:00,C.D FORTUNA K.E - SUPER AMARA,FUENCAMPO - GASTEIZ,4,2,,
Jornada 5,26/10/2019,16:00,MARPEX BERAUN ERRENTERIA TM,PORTUGALETE GURE TALDE,6,0,,
Jornada 5,26/10/2019,16:30,IRUN LEKA ENEA,SCDR ANAITASUNA,6,0,,
Jornada 5,26/10/2019,17:00,FUENCAMPO - GASTEIZ,CAFÉS LA BRASILEÑA-GAILAK,4,2,,
Jornada 5,26/10/2019,17:30,GURE TALDE,UNIVERSIDAD DE BURGOS - TPF,5,1,,
Jornada 5,26/10/2019,18:00,C.D FORTUNA K.E - SUPER AMARA,OBERENA,5,1,,
Jornada 6,09/11/2019,16:00,CD ARTXANDAKO MAHAI TENISA,FUENCAMPO - GASTEIZ,4,2,,
Jornada 6,09/11/2019,16:00,UNIVERSIDAD DE BURGOS - TPF,IRUN LEKA ENEA,2,4,,
Jornada 6,09/11/2019,16:30,SCDR ANAITASUNA,MARPEX BERAUN ERRENTERIA TM,0,6,,
