jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,28/09/2019,16:00,LEGANES-RIVAS,TENIS DE MESA PARLA - DRAGO TT,4,3,,
Jornada 1,28/09/2019,16:00,UNIVERSIDAD DE BURGOS - TPF,C.D. TENIS DE MESA RIVAS,4,2,,
Jornada 1,29/09/2019,10:30,SON CLADERA TTC,TECNIGEN LINARES,4,2,,
Jornada 1,29/09/2019,11:30,HOTEL-MUSEO PATRIA CHICA PRIEGO TM,CTM SEVILLA-CÁRTAMA,3,4,,
Jornada 1,29/09/2019,12:00,BEONE BOADILLA,AD COLLADO MEDIANO,6,0,,
Jornada 2,05/10/2019,16:00,LEGANES-RIVAS,UNIVERSIDAD DE BURGOS - TPF,2,4,,
Jornada 2,05/10/2019,18:00,TECNIGEN LINARES,HUJASE - CLÍNICA CÁMARA,1,5,,
Jornada 2,06/10/2019,10:30,SON CLADERA TTC,C.D. TENIS DE MESA RIVAS,4,3,,
Jornada 2,06/10/2019,10:45,TENIS DE MESA PARLA - DRAGO TT,BEONE BOADILLA,4,2,,
Jornada 2,06/10/2019,11:00,AD COLLADO MEDIANO,UNIVERSIDAD DE BURGOS - TPF,3,4,,
Jornada 2,06/10/2019,12:00,C.T.M. BELCÓN JEREZ,CTM SEVILLA-CÁRTAMA,5,1,,
Jornada 3,12/10/2019,17:30,AD COLLADO MEDIANO,SON CLADERA TTC,1,5,,
Jornada 3,12/10/2019,18:00,TECNIGEN LINARES,UNIVERSIDAD DE BURGOS - TPF,0,6,,
Jornada 3,13/10/2019,10:00,TENIS DE MESA PARLA - DRAGO TT,C.D. TENIS DE MESA RIVAS,4,3,,
Jornada 3,13/10/2019,11:00,LEGANES-RIVAS,SON CLADERA TTC,2,4,,
Jornada 3,13/10/2019,12:00,C.T.M. BELCÓN JEREZ,HOTEL-MUSEO PATRIA CHICA PRIEGO TM,4,3,,
Jornada 3,13/10/2019,12:00,HUJASE - CLÍNICA CÁMARA,UNIVERSIDAD DE BURGOS - TPF,4,2,,
Jornada 4,19/10/2019,12:00,HUJASE - CLÍNICA CÁMARA,BEONE BOADILLA,3,4,,
Jornada 4,19/10/2019,16:00,CTM SEVILLA-CÁRTAMA,TENIS DE MESA PARLA - DRAGO TT,1,5,,
Jornada 4,19/10/2019,16:00,C.D. TENIS DE MESA RIVAS,AD COLLADO MEDIANO,6,0,,
Jornada 4,19/10/2019,18:00,TECNIGEN LINARES,BEONE BOADILLA,1,5,,
Jornada 4,20/10/2019,11:30,HOTEL-MUSEO PATRIA CHICA PRIEGO TM,BEONE BOADILLA,2,4,,
Jornada 4,20/10/2019,12:00,C.T.M. BELCÓN JEREZ,TENIS DE MESA PARLA - DRAGO TT,2,4,,
Jornada 5,26/10/2019,16:00,LEGANES-RIVAS,C.T.M. BELCÓN JEREZ,3,4,,
Jornada 5,26/10/2019,16:00,C.D. TENIS DE MESA RIVAS,HOTEL-MUSEO PATRIA CHICA PRIEGO TM,3,4,,
Jornada 5,26/10/2019,20:00,AD COLLADO MEDIANO,C.T.M. BELCÓN JEREZ,5,1,,
Jornada 5,27/10/2019,10:00,TENIS DE MESA PARLA - DRAGO TT,HOTEL-MUSEO PATRIA CHICA PRIEGO TM,3,4,,
Jornada 5,27/10/2019,12:00,CTM SEVILLA-CÁRTAMA,HUJASE - CLÍNICA CÁMARA,3,4,,
Jornada 5,27/10/2019,12:00,SON CLADERA TTC,UNIVERSIDAD DE BURGOS - TPF,3,4,,
Jornada 6,09/11/2019,16:00,C.D. TENIS DE MESA RIVAS,HUJASE - CLÍNICA CÁMARA,2,4,,
Jornada 6,09/11/2019,17:30,AD COLLADO MEDIANO,LEGANES-RIVAS,2,4,,
Jornada 6,10/11/2019,10:00,TENIS DE MESA PARLA - DRAGO TT,HUJASE - CLÍNICA CÁMARA,1,5,,
Jornada 6,10/11/2019,12:00,BEONE BOADILLA,CTM SEVILLA-CÁRTAMA,4,3,,
Jornada 6,07/12/2019,18:00,UNIVERSIDAD DE BURGOS - TPF,CTM SEVILLA-CÁRTAMA,4,3,,
Jornada 6,14/12/2019,10:30,SON CLADERA TTC,HOTEL-MUSEO PATRIA CHICA PRIEGO TM,4,2,,
Jornada 7,16/11/2019,11:00,TECNIGEN LINARES,AD COLLADO MEDIANO,2,4,,
Jornada 7,16/11/2019,16:00,C.D. TENIS DE MESA RIVAS,LEGANES-RIVAS,0,6,,
Jornada 7,16/11/2019,17:00,HUJASE - CLÍNICA CÁMARA,AD COLLADO MEDIANO,2,4,,
Jornada 7,17/11/2019,11:30,HOTEL-MUSEO PATRIA CHICA PRIEGO TM,AD COLLADO MEDIANO,3,4,,
Jornada 7,30/11/2019,16:00,UNIVERSIDAD DE BURGOS - TPF,BEONE BOADILLA,2,4,,
Jornada 7,06/12/2019,10:00,C.T.M. BELCÓN JEREZ,SON CLADERA TTC,0,6,,
Jornada 7,06/12/2019,17:00,CTM SEVILLA-CÁRTAMA,SON CLADERA TTC,2,4,,
Jornada 8,23/11/2019,16:00,C.D. TENIS DE MESA RIVAS,TECNIGEN LINARES,4,3,,
Jornada 8,23/11/2019,16:00,UNIVERSIDAD DE BURGOS - TPF,C.T.M. BELCÓN JEREZ,4,2,,
Jornada 8,24/11/2019,10:00,TENIS DE MESA PARLA - DRAGO TT,TECNIGEN LINARES,6,0,,
Jornada 8,24/11/2019,11:30,HOTEL-MUSEO PATRIA CHICA PRIEGO TM,HUJASE - CLÍNICA CÁMARA,2,4,,
Jornada 8,24/11/2019,12:00,BEONE BOADILLA,C.T.M. BELCÓN JEREZ,3,4,,
Jornada 9,30/11/2019,12:00,HUJASE - CLÍNICA CÁMARA,LEGANES-RIVAS,4,3,,
Jornada 9,30/11/2019,16:00,CTM SEVILLA-CÁRTAMA,C.D. TENIS DE MESA RIVAS,2,4,,
Jornada 9,30/11/2019,17:30,AD COLLADO MEDIANO,TENIS DE MESA PARLA - DRAGO TT,4,2,,
Jornada 9,30/11/2019,18:00,TECNIGEN LINARES,LEGANES-RIVAS,4,2,,
Jornada 9,01/12/2019,10:30,SON CLADERA TTC,BEONE BOADILLA,4,3,,
Jornada 9,01/12/2019,11:30,HOTEL-MUSEO PATRIA CHICA PRIEGO TM,LEGANES-RIVAS,2,4,,
Jornada 9,01/12/2019,12:00,C.T.M. BELCÓN JEREZ,C.D. TENIS DE MESA RIVAS,2,4,,
Jornada 10,14/12/2019,17:00,HUJASE - CLÍNICA CÁMARA,C.T.M. BELCÓN JEREZ,4,2,,
Jornada 10,14/12/2019,18:00,TECNIGEN LINARES,CTM SEVILLA-CÁRTAMA,4,2,,
Jornada 10,15/12/2019,10:30,SON CLADERA TTC,TENIS DE MESA PARLA - DRAGO TT,2,4,,
Jornada 10,15/12/2019,11:30,HOTEL-MUSEO PATRIA CHICA PRIEGO TM,UNIVERSIDAD DE BURGOS - TPF,2,4,,
Jornada 10,15/12/2019,11:30,TECNIGEN LINARES,C.T.M. BELCÓN JEREZ,3,4,,
Jornada 10,15/12/2019,12:00,BEONE BOADILLA,LEGANES-RIVAS,4,2,,
Jornada 11,21/12/2019,17:30,AD COLLADO MEDIANO,CTM SEVILLA-CÁRTAMA,3,4,,
Jornada 11,21/12/2019,18:00,TECNIGEN LINARES,HOTEL-MUSEO PATRIA CHICA PRIEGO TM,4,3,,
Jornada 11,21/12/2019,18:00,UNIVERSIDAD DE BURGOS - TPF,TENIS DE MESA PARLA - DRAGO TT,2,4,,
Jornada 11,22/12/2019,10:30,SON CLADERA TTC,HUJASE - CLÍNICA CÁMARA,2,4,,
Jornada 11,22/12/2019,11:00,LEGANES-RIVAS,CTM SEVILLA-CÁRTAMA,3,4,,
Jornada 11,22/12/2019,12:00,BEONE BOADILLA,C.D. TENIS DE MESA RIVAS,3,4,,
