Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,2018812,LECHE GAZA TENIS DE MESA,139,IRUN LEKA ENEA,"GOMEZ SANDONIS, DANIEL", 10198,A,"GOMEZ FERNANDEZ, JOSE MANUEL", 3475,Y,,,,,7-11,11-7,7-11,4-11,,1-3,0 - 1
singles,1,2018812,LECHE GAZA TENIS DE MESA,139,IRUN LEKA ENEA,"LIMA MAGALHAES, JOSÉ MIGUEL", 35809,B,"GUERRICABEITIA ECHEVERRIA, JON ANDER", 36533,X,,,,,11-9,6-11,11-5,11-13,11-6,3-2,1 - 1
singles,1,2018812,LECHE GAZA TENIS DE MESA,139,IRUN LEKA ENEA,"GRAMCKO MARQUEZ, PEDRO DAVID", 29353,C,"MARTINEZ CATALAN, IKER", 20734,Z,,,,,12-10,11-9,4-11,11-8,,3-1,2 - 1
singles,1,2018812,LECHE GAZA TENIS DE MESA,139,IRUN LEKA ENEA,"GOMEZ SANDONIS, DANIEL", 10198,A,"GUERRICABEITIA ECHEVERRIA, JON ANDER", 36533,X,,,,,7-11,8-11,11-13,,,0-3,2 - 2
singles,1,2018812,LECHE GAZA TENIS DE MESA,139,IRUN LEKA ENEA,"GRAMCKO MARQUEZ, PEDRO DAVID", 29353,C,"GOMEZ FERNANDEZ, JOSE MANUEL", 3475,Y,,,,,11-13,9-11,11-8,14-12,6-11,2-3,2 - 3
singles,1,2018812,LECHE GAZA TENIS DE MESA,139,IRUN LEKA ENEA,"LIMA MAGALHAES, JOSÉ MIGUEL", 35809,B,"MARTINEZ CATALAN, IKER", 20734,Z,,,,,11-8,12-10,4-11,7-11,9-11,2-3,2 - 4
singles,2,139,IRUN LEKA ENEA,10770,ONE VISION PARLA,"HERRERO CERCADILLO, HUGO", 21784,A,"GOMEZ FERNANDEZ, JOSE MANUEL", 3475,Y,,,,,10-12,11-9,11-8,11-8,,3-1,1 - 0
singles,2,139,IRUN LEKA ENEA,10770,ONE VISION PARLA,"UTRILLA GATICA, REINALDO", 29197,B,"GARCIA MELENDO, BEÑAT", 28075,X,,,,,11-13,11-9,5-11,7-11,,1-3,1 - 1
singles,2,139,IRUN LEKA ENEA,10770,ONE VISION PARLA,"LÓPEZ GAVILÁN, ALBERTO", 19866,C,"MARTINEZ ZABALA, IKER", 1854,Z,,,,,7-11,6-11,4-11,,,0-3,1 - 2
singles,2,139,IRUN LEKA ENEA,10770,ONE VISION PARLA,"HERRERO CERCADILLO, HUGO", 21784,A,"GARCIA MELENDO, BEÑAT", 28075,X,,,,,7-11,7-11,5-11,,,0-3,1 - 3
