jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,23/09/2022,17:30,SAN SEBASTIAN DE LOS REYES,COLLADO MEDIANO TM,4,1,,
Jornada 1,23/09/2022,18:00,ASISA BORGES VALL,C.E.R. ROBIN PRISCO L´ESCALA,3,3,,
Jornada 1,23/09/2022,18:00,ARTEAL SANTIAGO SD COMPOSTELA,VISIT PONTEVEDRA,4,1,,
Jornada 1,23/09/2022,18:30,IRUN LEKA ENEA,UNIVERSIDAD DE BURGOS - TPF,3,3,,
Jornada 1,23/09/2022,19:00,HORTITEC ALZIRA TT,CTM MURCIA EL PALMAR,4,0,,
Jornada 1,23/09/2022,19:00,REAL CAJASUR PRIEGO TM,PODOMAT TM PARLA,4,1,,
Jornada 2,14/10/2022,18:00,ARTEAL SANTIAGO SD COMPOSTELA,ASISA BORGES VALL,3,3,,
Jornada 2,14/10/2022,19:00,PODOMAT TM PARLA,HORTITEC ALZIRA TT,3,3,,
Jornada 2,15/10/2022,18:00,UNIVERSIDAD DE BURGOS - TPF,SAN SEBASTIAN DE LOS REYES,3,3,,
Jornada 2,15/10/2022,18:00,COLLADO MEDIANO TM,REAL CAJASUR PRIEGO TM,0,4,,
Jornada 2,16/10/2022,10:00,VISIT PONTEVEDRA,CTM MURCIA EL PALMAR,4,0,,
Jornada 2,16/10/2022,10:30,C.E.R. ROBIN PRISCO L´ESCALA,IRUN LEKA ENEA,4,0,,
Jornada 3,21/10/2022,17:30,SAN SEBASTIAN DE LOS REYES,C.E.R. ROBIN PRISCO L´ESCALA,3,3,,
Jornada 3,21/10/2022,19:00,CTM MURCIA EL PALMAR,PODOMAT TM PARLA,3,3,,
Jornada 3,21/10/2022,19:00,HORTITEC ALZIRA TT,COLLADO MEDIANO TM,4,1,,
Jornada 3,21/10/2022,19:00,REAL CAJASUR PRIEGO TM,UNIVERSIDAD DE BURGOS - TPF,4,0,,
Jornada 3,26/10/2022,18:00,ASISA BORGES VALL,VISIT PONTEVEDRA,4,1,,
Jornada 3,07/11/2022,18:30,IRUN LEKA ENEA,ARTEAL SANTIAGO SD COMPOSTELA,0,4,,
Jornada 4,27/10/2022,18:00,ASISA BORGES VALL,IRUN LEKA ENEA,4,2,,
Jornada 4,29/10/2022,18:00,UNIVERSIDAD DE BURGOS - TPF,HORTITEC ALZIRA TT,4,0,,
Jornada 4,29/10/2022,18:00,COLLADO MEDIANO TM,CTM MURCIA EL PALMAR,3,3,,
Jornada 4,30/10/2022,10:00,VISIT PONTEVEDRA,PODOMAT TM PARLA,4,0,,
Jornada 4,30/10/2022,10:30,C.E.R. ROBIN PRISCO L´ESCALA,REAL CAJASUR PRIEGO TM,1,4,,
Jornada 4,16/11/2022,18:00,ARTEAL SANTIAGO SD COMPOSTELA,SAN SEBASTIAN DE LOS REYES,4,2,,
Jornada 5,04/11/2022,17:30,SAN SEBASTIAN DE LOS REYES,ASISA BORGES VALL,1,4,,
Jornada 5,04/11/2022,18:30,IRUN LEKA ENEA,VISIT PONTEVEDRA,4,1,,
Jornada 5,04/11/2022,19:00,REAL CAJASUR PRIEGO TM,ARTEAL SANTIAGO SD COMPOSTELA,3,3,,
Jornada 5,04/11/2022,19:00,HORTITEC ALZIRA TT,C.E.R. ROBIN PRISCO L´ESCALA,1,4,,
