jornada,date,time,team_a,team_b,score_a,score_b,venue,referee
Jornada 1,24/09/2022,10:30,OROSO TM PELUQUERíA TIJE,CLUB TENIS DE MESA CIDADE DE NARÓN,4,2,,
Jornada 1,24/09/2022,17:00,CLUB DEPORTIVO OBERENA,IRUN LEKA ENEA,4,3,,
Jornada 1,25/09/2022,11:00,CTM ABADIÑO - L4UKO,ETM DESATASCOS REBOFER,3,4,,
Jornada 1,25/09/2022,12:00,SEGHOS ESCUELA TENIS DE MESA,SAN SEBASTIAN DE LOS REYES,4,2,,
Jornada 1,02/10/2022,10:30,CTM VIGO,CLUB DEPORTIVO COYANZA,1,5,,
Jornada 2,15/10/2022,16:00,SAN SEBASTIAN DE LOS REYES,FUENCARRAL - EL PARDO TM,4,2,,
Jornada 2,16/10/2022,10:00,CLUB TENIS DE MESA CIDADE DE NARÓN,CTM VIGO,6,0,,
Jornada 2,16/10/2022,10:00,IRUN LEKA ENEA,CTM ABADIÑO - L4UKO,4,2,,
Jornada 2,16/10/2022,12:00,SEGHOS ESCUELA TENIS DE MESA,ETM DESATASCOS REBOFER,4,3,,
Jornada 3,22/10/2022,10:00,CLUB TENIS DE MESA CIDADE DE NARÓN,FUENCARRAL - EL PARDO TM,3,4,,
Jornada 3,22/10/2022,17:00,CLUB DEPORTIVO OBERENA,CTM ABADIÑO - L4UKO,1,5,,
Jornada 3,22/10/2022,17:00,CLUB DEPORTIVO COYANZA,SEGHOS ESCUELA TENIS DE MESA,2,4,,
Jornada 3,22/10/2022,17:00,CTM VIGO,FUENCARRAL - EL PARDO TM,0,6,,
Jornada 3,23/10/2022,10:30,FONTANERIA IRURIETA BERAUN ERRENTERIA TM,ETM DESATASCOS REBOFER,2,4,,
Jornada 3,23/10/2022,10:30,OROSO TM PELUQUERíA TIJE,FUENCARRAL - EL PARDO TM,3,4,,
Jornada 4,29/10/2022,10:00,FUENCARRAL - EL PARDO TM,CLUB DEPORTIVO OBERENA,5,1,,
