Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,927,AVILES T.M.,10702,TENIS DE MESA EL CACHON,PABLO  ORTEGA RUIZ, 20077,A,ALEXANDRU GABRIEL ELEFTERESCU, 26841,Y,,,,,11-5,11-3,11-2,,,3-0,1 - 0
singles,1,927,AVILES T.M.,10702,TENIS DE MESA EL CACHON,ENRIQUE  GUTIERREZ AGÜERO, 20912,B,JORGE GONZALEZ MALDONADO, 3217,X,,,,,11-4,8-11,4-11,13-11,11-9,3-2,2 - 0
singles,1,927,AVILES T.M.,10702,TENIS DE MESA EL CACHON,GUILLERMO FERNANDEZ GONZALEZ, 14945,C,CARLOS MONFORTE RADILLO, 610,Z,,,,,11-7,11-4,12-10,,,3-0,3 - 0
singles,1,927,AVILES T.M.,10702,TENIS DE MESA EL CACHON,PABLO  ORTEGA RUIZ, 20077,A,JORGE GONZALEZ MALDONADO, 3217,X,,,,,11-4,11-9,11-7,,,3-0,4 - 0
singles,1,927,AVILES T.M.,10702,TENIS DE MESA EL CACHON,PEDRO FERNANDEZ QUEVEDO, 20918,C,ALEXANDRU GABRIEL ELEFTERESCU, 26841,Y,,,,,11-8,11-9,11-9,,,3-0,5 - 0
singles,1,927,AVILES T.M.,10702,TENIS DE MESA EL CACHON,ENRIQUE  GUTIERREZ AGÜERO, 20912,B,CARLOS MONFORTE RADILLO, 610,Z,,,,,11-4,9-11,11-3,11-5,,3-1,6 - 0
singles,2,927,AVILES T.M.,2018819,MANUFACTURAS DEPORTIVAS,JAVIER RECIO BARZANA, 9894,A,CARLOS MONFORTE RADILLO, 610,Y,,,,,14-12,4-11,11-8,11-6,,3-1,1 - 0
singles,2,927,AVILES T.M.,2018819,MANUFACTURAS DEPORTIVAS,ADRIÁN PAÑEDA DÍAZ, 26284,B,ALEXANDRU GABRIEL ELEFTERESCU, 26841,X,,,,,11-2,11-5,11-6,,,3-0,2 - 0
singles,2,927,AVILES T.M.,2018819,MANUFACTURAS DEPORTIVAS,DANIEL PALAZUELOS SAN FERMÍN, 19047,C,JORGE GONZALEZ MALDONADO, 3217,Z,,,,,11-9,5-11,8-11,6-11,,1-3,2 - 1
singles,2,927,AVILES T.M.,2018819,MANUFACTURAS DEPORTIVAS,JAVIER RECIO BARZANA, 9894,A,ALEXANDRU GABRIEL ELEFTERESCU, 26841,X,,,,,11-4,11-1,11-8,,,3-0,3 - 1
singles,2,927,AVILES T.M.,2018819,MANUFACTURAS DEPORTIVAS,DANIEL PALAZUELOS SAN FERMÍN, 19047,C,CARLOS MONFORTE RADILLO, 610,Y,,,,,4-11,11-7,9-11,9-11,,1-3,3 - 2
singles,2,927,AVILES T.M.,2018819,MANUFACTURAS DEPORTIVAS,ADRIÁN PAÑEDA DÍAZ, 26284,B,JORGE GONZALEZ MALDONADO, 3217,Z,,,,,11-5,5-11,11-6,11-8,,3-1,4 - 2
singles,5,927,AVILES T.M.,2018797,LA ATALAYA GIJON TENIS DE MESA,JULIO RODILLA HERNANDEZ, 20821,A,JESUS ENRIQUE  BERNARDINI LÓPEZ, 3163,Y,,,,,3-11,4-11,10-12,,,0-3,0 - 1
singles,5,927,AVILES T.M.,2018797,LA ATALAYA GIJON TENIS DE MESA,JORGE GONZALEZ MALDONADO, 3217,B,ANTONIO PALACIO MUÑIZ, 4853,X,,,,,7-11,4-11,7-11,,,0-3,0 - 2
singles,5,927,AVILES T.M.,2018797,LA ATALAYA GIJON TENIS DE MESA,CARLOS MONFORTE RADILLO, 610,C,FERNANDO BARAGAÑO GARCIA, 23533,Z,,,,,9-11,9-11,9-11,,,0-3,0 - 3
singles,5,927,AVILES T.M.,2018797,LA ATALAYA GIJON TENIS DE MESA,JULIO RODILLA HERNANDEZ, 20821,A,ANTONIO PALACIO MUÑIZ, 4853,X,,,,,6-11,15-17,11-8,8-11,,1-3,0 - 4
singles,5,927,AVILES T.M.,2018797,LA ATALAYA GIJON TENIS DE MESA,CARLOS MONFORTE RADILLO, 610,C,JESUS ENRIQUE  BERNARDINI LÓPEZ, 3163,Y,,,,,4-11,5-11,13-11,6-11,,1-3,0 - 5
singles,5,927,AVILES T.M.,2018797,LA ATALAYA GIJON TENIS DE MESA,ALEXANDRU GABRIEL ELEFTERESCU, 26841,B,FERNANDO BARAGAÑO GARCIA, 23533,Z,,,,,2-11,7-11,7-11,,,0-3,0 - 6
singles,6,1453,LUARCA TENIS DE MESA,927,AVILES T.M.,JULIO RODILLA HERNANDEZ, 20821,A,SALVADOR ALFONSO RODRIGUEZ, 1558,Y,,,,,3-11,13-15,9-11,,,0-3,0 - 1
singles,6,1453,LUARCA TENIS DE MESA,927,AVILES T.M.,JORGE GONZALEZ MALDONADO, 3217,B,JOSE DOMINGO LARRIETY FERREIRA, 9049,X,,,,,11-9,7-11,11-5,11-9,,3-1,1 - 1
singles,6,1453,LUARCA TENIS DE MESA,927,AVILES T.M.,CARLOS MONFORTE RADILLO, 610,C,EMILIO BURGOS RODRIGUEZ, 1248,Z,,,,,5-11,5-11,5-11,,,0-3,1 - 2
singles,6,1453,LUARCA TENIS DE MESA,927,AVILES T.M.,JULIO RODILLA HERNANDEZ, 20821,A,JOSE DOMINGO LARRIETY FERREIRA, 9049,X,,,,,11-9,11-9,7-11,11-9,,3-1,2 - 2
singles,6,1453,LUARCA TENIS DE MESA,927,AVILES T.M.,CARLOS MONFORTE RADILLO, 610,C,SALVADOR ALFONSO RODRIGUEZ, 1558,Y,,,,,6-11,9-11,4-11,,,0-3,2 - 3
singles,6,1453,LUARCA TENIS DE MESA,927,AVILES T.M.,JORGE GONZALEZ MALDONADO, 3217,B,EMILIO BURGOS RODRIGUEZ, 1248,Z,,,,,4-11,2-11,10-12,,,0-3,2 - 4
singles,7,10702,TENIS DE MESA EL CACHON,927,AVILES T.M.,GUILLERMO FERNANDEZ GONZALEZ, 14945,A,FELIX GONZALEZ GONZALEZ, 1200,Y,,,,,11-9,11-9,4-11,9-11,11-7,3-2,1 - 0
singles,7,10702,TENIS DE MESA EL CACHON,927,AVILES T.M.,PABLO  ORTEGA RUIZ, 20077,B,JORGE GONZALEZ MALDONADO, 3217,X,,,,,11-8,11-2,11-4,,,3-0,2 - 0
singles,7,10702,TENIS DE MESA EL CACHON,927,AVILES T.M.,PEDRO FERNANDEZ QUEVEDO, 20918,C,CARLOS MONFORTE RADILLO, 610,Z,,,,,5-11,11-9,6-11,5-11,,1-3,2 - 1
singles,7,10702,TENIS DE MESA EL CACHON,927,AVILES T.M.,GUILLERMO FERNANDEZ GONZALEZ, 14945,A,JORGE GONZALEZ MALDONADO, 3217,X,,,,,11-5,11-5,9-11,11-9,,3-1,3 - 1
singles,7,10702,TENIS DE MESA EL CACHON,927,AVILES T.M.,PEDRO FERNANDEZ QUEVEDO, 20918,C,FELIX GONZALEZ GONZALEZ, 1200,Y,,,,,6-11,5-11,7-11,,,0-3,3 - 2
singles,7,10702,TENIS DE MESA EL CACHON,927,AVILES T.M.,PABLO  ORTEGA RUIZ, 20077,B,CARLOS MONFORTE RADILLO, 610,Z,,,,,12-14,11-8,11-4,11-5,,3-1,4 - 2
singles,8,2018819,MANUFACTURAS DEPORTIVAS,927,AVILES T.M.,FELIX GONZALEZ GONZALEZ, 1200,A,ADRIÁN PAÑEDA DÍAZ, 26284,Y,,,,,11-5,11-5,11-8,,,3-0,1 - 0
singles,8,2018819,MANUFACTURAS DEPORTIVAS,927,AVILES T.M.,JULIO RODILLA HERNANDEZ, 20821,B,DANIEL PALAZUELOS SAN FERMÍN, 19047,X,,,,,11-9,11-8,10-12,8-11,8-11,2-3,1 - 1
singles,8,2018819,MANUFACTURAS DEPORTIVAS,927,AVILES T.M.,CARLOS MONFORTE RADILLO, 610,C,JAVIER RECIO BARZANA, 9894,Z,,,,,8-11,9-11,8-11,,,0-3,1 - 2
singles,8,2018819,MANUFACTURAS DEPORTIVAS,927,AVILES T.M.,FELIX GONZALEZ GONZALEZ, 1200,A,DANIEL PALAZUELOS SAN FERMÍN, 19047,X,,,,,11-8,11-6,11-8,,,3-0,2 - 2
singles,8,2018819,MANUFACTURAS DEPORTIVAS,927,AVILES T.M.,CARLOS MONFORTE RADILLO, 610,C,ADRIÁN PAÑEDA DÍAZ, 26284,Y,,,,,11-9,6-11,11-7,7-11,6-11,2-3,2 - 3
singles,8,2018819,MANUFACTURAS DEPORTIVAS,927,AVILES T.M.,JULIO RODILLA HERNANDEZ, 20821,B,JAVIER RECIO BARZANA, 9894,Z,,,,,6-11,7-11,8-11,,,0-3,2 - 4
singles,11,2018797,LA ATALAYA GIJON TENIS DE MESA,927,AVILES T.M.,JOSE IVAN VALLADARES GOMEZ, 4628,A,JULIO RODILLA HERNANDEZ, 20821,Y,,,,,11-9,11-8,8-11,8-11,11-8,3-2,1 - 0
singles,11,2018797,LA ATALAYA GIJON TENIS DE MESA,927,AVILES T.M.,HODEI RODRIGUEZ BARBON, 17459,B,FELIX GONZALEZ GONZALEZ, 1200,X,,,,,9-11,8-11,8-11,,,0-3,1 - 1
singles,11,2018797,LA ATALAYA GIJON TENIS DE MESA,927,AVILES T.M.,FERNANDO BARAGAÑO GARCIA, 23533,C,CARLOS MONFORTE RADILLO, 610,Z,,,,,11-9,11-7,9-11,6-11,11-8,3-2,2 - 1
singles,11,2018797,LA ATALAYA GIJON TENIS DE MESA,927,AVILES T.M.,JOSE IVAN VALLADARES GOMEZ, 4628,A,FELIX GONZALEZ GONZALEZ, 1200,X,,,,,9-11,4-11,7-11,,,0-3,2 - 2
singles,11,2018797,LA ATALAYA GIJON TENIS DE MESA,927,AVILES T.M.,FERNANDO BARAGAÑO GARCIA, 23533,C,JULIO RODILLA HERNANDEZ, 20821,Y,,,,,11-8,11-4,13-11,,,3-0,3 - 2
singles,11,2018797,LA ATALAYA GIJON TENIS DE MESA,927,AVILES T.M.,HODEI RODRIGUEZ BARBON, 17459,B,CARLOS MONFORTE RADILLO, 610,Z,,,,,6-11,9-11,11-9,2-11,,1-3,3 - 3
singles,12,927,AVILES T.M.,1453,LUARCA TENIS DE MESA,JOSE DOMINGO LARRIETY FERREIRA, 9049,A,FELIX GONZALEZ GONZALEZ, 1200,Y,,,,,2-11,11-13,12-14,,,0-3,0 - 1
singles,12,927,AVILES T.M.,1453,LUARCA TENIS DE MESA,ENRIQUE JOSE FERNANDEZ GARCIA, 10272,B,JULIO RODILLA HERNANDEZ, 20821,X,,,,,2-11,3-11,3-11,,,0-3,0 - 2
singles,12,927,AVILES T.M.,1453,LUARCA TENIS DE MESA,ERNESTO FERNANDEZ MENENDEZ, 27371,C,CARLOS MONFORTE RADILLO, 610,Z,,,,,9-11,11-3,11-6,5-11,10-12,2-3,0 - 3
singles,12,927,AVILES T.M.,1453,LUARCA TENIS DE MESA,JOSE DOMINGO LARRIETY FERREIRA, 9049,A,JULIO RODILLA HERNANDEZ, 20821,X,,,,,8-11,11-6,8-11,11-9,11-7,3-2,1 - 3
singles,12,927,AVILES T.M.,1453,LUARCA TENIS DE MESA,ERNESTO FERNANDEZ MENENDEZ, 27371,C,FELIX GONZALEZ GONZALEZ, 1200,Y,,,,,9-11,5-11,8-11,,,0-3,1 - 4
singles,12,927,AVILES T.M.,1453,LUARCA TENIS DE MESA,ENRIQUE JOSE FERNANDEZ GARCIA, 10272,B,ALEXANDRU GABRIEL ELEFTERESCU, 26841,Z,,,,,11-9,11-9,12-10,,,3-0,2 - 4
