Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,8,1113,BALAGUER PIERA ECOCERAMICA,1221,VIDRIO SERVICE TM,ANA GARCIA MONTERO, 9863 ,C,LOREDANA-CARMEN DORCA, 4584 ,Y,,,,,11-5,11-2,11-3,,,3-0,4 - 1
singles,10,1113,BALAGUER PIERA ECOCERAMICA,2017552,DOC SERVICIOS HISPALIS,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,A,LUISA ALEJANDRA CARDOZO MENDOZA, 29383 ,Y,,,,,11-7,11-2,11-5,,,3-0,1 - 0
singles,10,1113,BALAGUER PIERA ECOCERAMICA,2017552,DOC SERVICIOS HISPALIS,LOREDANA-CARMEN DORCA, 4584 ,B,LUCIA PEDROSA FERNANDEZ, 21979 ,X,,,,,11-5,11-7,11-4,,,3-0,2 - 0
singles,10,1113,BALAGUER PIERA ECOCERAMICA,2017552,DOC SERVICIOS HISPALIS,MAGDA VECIANA ALZAMORA, 5426 ,C,ESTHER SANCHEZ MUÑOZ DE RIVERA, 21234 ,Z,,,,,11-5,11-7,11-7,,,3-0,3 - 0
singles,10,1113,BALAGUER PIERA ECOCERAMICA,2017552,DOC SERVICIOS HISPALIS,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,A,LUCIA PEDROSA FERNANDEZ, 21979 ,X,,,,,11-4,11-6,11-4,,,3-0,4 - 0
singles,11,1113,BALAGUER PIERA ECOCERAMICA,1150,COVICSA-CTT SANTA EULARIA,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,A,SABINE JANE WINTER, 36635 ,Y,,,,,11-4,6-11,3-11,17-15,6-11,2-3,0 - 1
singles,11,1113,BALAGUER PIERA ECOCERAMICA,1150,COVICSA-CTT SANTA EULARIA,MAGDA VECIANA ALZAMORA, 5426 ,B,NATALIA MIRAMONTES MORCILO, 16527 ,X,,,,,8-11,5-11,5-11,,,0-3,0 - 2
singles,11,1113,BALAGUER PIERA ECOCERAMICA,1150,COVICSA-CTT SANTA EULARIA,LOREDANA-CARMEN DORCA, 4584 ,C,TIJANA JOKIC, 33821 ,Z,,,,,5-11,11-3,6-11,4-11,,1-3,0 - 3
singles,11,1113,BALAGUER PIERA ECOCERAMICA,1150,COVICSA-CTT SANTA EULARIA,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,A,NATALIA MIRAMONTES MORCILO, 16527 ,X,,,,,11-6,11-6,11-9,,,3-0,1 - 3
singles,11,1113,BALAGUER PIERA ECOCERAMICA,1150,COVICSA-CTT SANTA EULARIA,LOREDANA-CARMEN DORCA, 4584 ,C,SABINE JANE WINTER, 36635 ,Y,,,,,6-11,7-11,7-11,,,0-3,1 - 4
singles,15,1113,BALAGUER PIERA ECOCERAMICA,664,ALICANTE TM,MEN SHUOHAN, 36563 ,A,LOREDANA-CARMEN DORCA, 4584 ,Y,,,,,11-5,11-5,11-6,,,3-0,1 - 0
singles,15,1113,BALAGUER PIERA ECOCERAMICA,664,ALICANTE TM,MARINA ÑIGUEZ GARCIA, 10564 ,B,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,X,,,,,3-11,12-10,11-9,4-11,6-11,2-3,1 - 1
singles,15,1113,BALAGUER PIERA ECOCERAMICA,664,ALICANTE TM,IRINA ERMAKOVA, 29869 ,C,MAGDA VECIANA ALZAMORA, 5426 ,Z,,,,,11-8,11-6,11-0,,,3-0,2 - 1
singles,15,1113,BALAGUER PIERA ECOCERAMICA,664,ALICANTE TM,MEN SHUOHAN, 36563 ,A,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,X,,,,,12-10,11-8,11-8,,,3-0,3 - 1
singles,15,1113,BALAGUER PIERA ECOCERAMICA,664,ALICANTE TM,IRINA ERMAKOVA, 29869 ,C,LOREDANA-CARMEN DORCA, 4584 ,Y,,,,,11-4,11-5,11-5,,,3-0,4 - 1
singles,16,1221,VIDRIO SERVICE TM,1113,BALAGUER PIERA ECOCERAMICA,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,A,SARKAR TAKEME, 35027 ,Y,,,,,11-9,11-7,10-12,5-11,11-9,3-2,1 - 0
singles,16,1221,VIDRIO SERVICE TM,1113,BALAGUER PIERA ECOCERAMICA,CLAUDIA CEJAS ARCOS, 3482 ,B,MARIJA GALONJA, 17113 ,X,,,,,4-11,2-11,5-11,,,0-3,1 - 1
singles,16,1221,VIDRIO SERVICE TM,1113,BALAGUER PIERA ECOCERAMICA,LOREDANA-CARMEN DORCA, 4584 ,C,ANA GARCIA MONTERO, 9863 ,Z,,,,,8-11,3-11,7-11,,,0-3,1 - 2
singles,16,1221,VIDRIO SERVICE TM,1113,BALAGUER PIERA ECOCERAMICA,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,A,MARIJA GALONJA, 17113 ,X,,,,,7-11,8-11,7-11,,,0-3,1 - 3
singles,16,1221,VIDRIO SERVICE TM,1113,BALAGUER PIERA ECOCERAMICA,LOREDANA-CARMEN DORCA, 4584 ,C,SARKAR TAKEME, 35027 ,Y,,,,,3-11,12-10,5-11,3-11,,1-3,1 - 4
singles,17,9,UCAM CARTAGENA TM,1113,BALAGUER PIERA ECOCERAMICA,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,A,CARMEN LOZANO MIRÓN, 19183 ,Y,,,,,11-4,11-5,11-3,,,3-0,1 - 0
singles,17,9,UCAM CARTAGENA TM,1113,BALAGUER PIERA ECOCERAMICA,CLAUDIA CEJAS ARCOS, 3482 ,B,MARIA XIAO YAO, 9486 ,X,,,,,1-11,2-11,2-11,,,0-3,1 - 1
singles,17,9,UCAM CARTAGENA TM,1113,BALAGUER PIERA ECOCERAMICA,LOREDANA-CARMEN DORCA, 4584 ,C,SILVIA ASIS DE SOUZA ERDELJI, 31669 ,Z,,,,,6-11,4-11,1-11,,,0-3,1 - 2
singles,17,9,UCAM CARTAGENA TM,1113,BALAGUER PIERA ECOCERAMICA,SVETLANA BAKHTINA GAIDUKOVA, 1647 ,A,MARIA XIAO YAO, 9486 ,X,,,,,6-11,4-11,9-11,,,0-3,1 - 3
singles,17,9,UCAM CARTAGENA TM,1113,BALAGUER PIERA ECOCERAMICA,LOREDANA-CARMEN DORCA, 4584 ,C,CARMEN LOZANO MIRÓN, 19183 ,Y,,,,,11-9,11-3,13-11,,,3-0,2 - 3
singles,17,9,UCAM CARTAGENA TM,1113,BALAGUER PIERA ECOCERAMICA,CLAUDIA CEJAS ARCOS, 3482 ,B,SILVIA ASIS DE SOUZA ERDELJI, 31669 ,Z,,,,,9-11,9-11,3-11,,,0-3,2 - 4
